CallNumber,Timestamp,PlannerName,HLActionInstance,ProblemFile,Success,PlannerTimeMs,TotalTimeMs,ActionsGenerated,PlanLength,Error
134,2026-07-01 12:22:28.098,FF,PlaceHL_lp5_pr1_r1,Plannerinputs/generated/problemPlaceHL_lp5_pr1_r1.pddl,True,274.10,322.81,2,0,
135,2026-07-01 12:22:28.823,FF,PickUpHL_lp6_fp41_r1,Plannerinputs/generated/problemPickUpHL_lp6_fp41_r1.pddl,True,277.67,323.37,2,0,
136,2026-07-01 12:22:29.538,FF,PlaceHL_lp6_pr2_r1,Plannerinputs/generated/problemPlaceHL_lp6_pr2_r1.pddl,True,288.70,335.50,2,0,
137,2026-07-01 12:22:30.282,FF,PickUpHL_lp7_fp49_r1,Plannerinputs/generated/problemPickUpHL_lp7_fp49_r1.pddl,True,281.30,331.02,2,0,
138,2026-07-01 12:22:31.033,FF,PlaceHL_lp7_pr3_r1,Plannerinputs/generated/problemPlaceHL_lp7_pr3_r1.pddl,True,285.81,338.21,2,0,
139,2026-07-01 12:22:31.766,FF,PickUpHL_lp8_fp57_r1,Plannerinputs/generated/problemPickUpHL_lp8_fp57_r1.pddl,True,307.43,353.00,2,0,
140,2026-07-01 12:22:32.576,FF,PlaceHL_lp8_pr4_r1,Plannerinputs/generated/problemPlaceHL_lp8_pr4_r1.pddl,True,304.89,340.75,2,0,
141,2026-07-01 12:22:33.326,FF,GluingPlateHL_lp5_pr1_r1,Plannerinputs/generated/problemGluingPlateHL_lp5_pr1_r1.pddl,True,311.10,366.70,8,0,
142,2026-07-01 12:22:34.841,FF,GluingPlateHL_lp6_pr2_r1,Plannerinputs/generated/problemGluingPlateHL_lp6_pr2_r1.pddl,True,278.79,322.53,2,0,
143,2026-07-01 12:22:35.592,FF,GluingPlateHL_lp7_pr3_r1,Plannerinputs/generated/problemGluingPlateHL_lp7_pr3_r1.pddl,True,288.28,334.01,2,0,
144,2026-07-01 12:22:36.328,FF,GluingPlateHL_lp8_pr4_r1,Plannerinputs/generated/problemGluingPlateHL_lp8_pr4_r1.pddl,True,278.34,324.29,2,0,
145,2026-07-01 12:22:37.061,FF,PickUpHL_b25_fp34_r1,Plannerinputs/generated/problemPickUpHL_b25_fp34_r1.pddl,True,291.09,352.63,9,0,
146,2026-07-01 12:22:38.743,FF,StackHL_b25_lp5_r1_pr1_lay5_m5,Plannerinputs/generated/problemStackHL_b25_lp5_r1_pr1_lay5_m5.pddl,True,308.78,340.55,2,0,
147,2026-07-01 12:22:39.496,FF,PickUpHL_b26_fp35_r1,Plannerinputs/generated/problemPickUpHL_b26_fp35_r1.pddl,True,303.43,349.17,2,0,
148,2026-07-01 12:22:40.276,FF,StackHL_b26_lp5_r1_pr1_lay5_m5,Plannerinputs/generated/problemStackHL_b26_lp5_r1_pr1_lay5_m5.pddl,True,277.66,322.94,2,0,
149,2026-07-01 12:22:41.019,FF,PickUpHL_b30_fp40_r1,Plannerinputs/generated/problemPickUpHL_b30_fp40_r1.pddl,True,284.15,335.45,2,0,
150,2026-07-01 12:22:41.761,FF,StackHL_b30_lp5_r1_pr1_lay5_m5,Plannerinputs/generated/problemStackHL_b30_lp5_r1_pr1_lay5_m5.pddl,True,275.16,326.78,2,0,
151,2026-07-01 12:22:42.500,FF,PickUpHL_b28_fp38_r1,Plannerinputs/generated/problemPickUpHL_b28_fp38_r1.pddl,True,300.50,350.17,2,0,
152,2026-07-01 12:22:43.264,FF,StackHL_b28_lp5_r1_pr1_lay5_m5,Plannerinputs/generated/problemStackHL_b28_lp5_r1_pr1_lay5_m5.pddl,True,305.98,348.17,2,0,
153,2026-07-01 12:22:44.050,FF,PickUpHL_b27_fp36_r1,Plannerinputs/generated/problemPickUpHL_b27_fp36_r1.pddl,True,297.11,344.13,2,0,
154,2026-07-01 12:22:44.797,FF,StackHL_b27_lp5_r1_pr1_lay5_m5,Plannerinputs/generated/problemStackHL_b27_lp5_r1_pr1_lay5_m5.pddl,True,314.85,362.99,2,0,
155,2026-07-01 12:22:45.580,FF,PickUpHL_b29_fp39_r1,Plannerinputs/generated/problemPickUpHL_b29_fp39_r1.pddl,True,316.16,361.84,2,0,
156,2026-07-01 12:22:46.336,FF,StackHL_b29_lp5_r1_pr1_lay5_m5,Plannerinputs/generated/problemStackHL_b29_lp5_r1_pr1_lay5_m5.pddl,True,302.60,349.79,2,0,
