NodeType,TotalTicks,AverageServicesTimeMs,AverageDecoratorsTimeMs,AverageNodeLogicTimeMs,AverageChildrenTimeMs,AverageTotalTickTimeMs,TotalServicesTimeMs,TotalDecoratorsTimeMs,TotalNodeLogicTimeMs,TotalChildrenTimeMs,TotalTickTimeMs
BTFlowNodeComposite,2322,0.14,0.78,139.15,0.01,140.07,317.54,1811.04,323098.25,17.40,325244.39
BTFlowNodeDynamic_FF,1155,110.63,0.12,0.04,3.76,114.54,127779.28,133.04,48.42,4338.15,132298.98
BTFlowNodeDynamic_PDDL,1167,0.08,0.12,0.08,122.46,122.74,94.11,140.29,88.69,142914.27,143237.44
GenericBTAction,1938,3.16,0.02,0.09,68.31,71.57,6119.73,34.74,171.73,132381.27,138707.61
TOTAL,6582,20.41,0.32,49.14,42.49,112.35,134310.66,2119.12,323407.08,279651.09,739488.42
BTFlowNodeDynamic_ENHSP,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
BTFlowNodeDynamic_LAMA-FIRST,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
