Counter,Timestamp,ActionName,InstanceName,Status,AdditionalInfo,TimeSinceStartMs
41,2025-09-08 15:44:10.636,PlaceML,PlaceML_lp4_pr4_r1_vg1,STARTED,"Normal execution; DeltaTime: 0.100",53927.67
42,2025-09-08 15:44:10.639,PlaceML,PlaceML_lp4_pr4_r1_vg1,STARTED,"DeltaTime: 0.100",53930.60
43,2025-09-08 15:44:10.797,PlaceML,PlaceML_lp4_pr4_r1_vg1,COMPLETED,"Effects applied successfully",54088.69
44,2025-09-08 15:44:10.817,PlaceHL,PlaceHL_lp4_pr4_r1,COMPLETED,"Subtree execution completed successfully",54108.95
45,2025-09-08 15:44:12.436,GluingPLateHL,GluingPlateHL_lp4_pr4_r1,STARTED,"High-level execution with subtree: FF_Default_DynamicFlow_GluingPlateHL_lp4_pr4_r1; DeltaTime: 0.100",55728.01
46,2025-09-08 15:44:17.247,GluingPLateHL,GluingPlateHL_lp4_pr4_r1,FAILED,"Subtree execution failed",60539.01
47,2025-09-08 15:44:18.746,PickUpHL,PickUpHL_lp1_fp1_r1,STARTED,"High-level execution with subtree: FF_Default_DynamicFlow_PickUpHL_lp1_fp1_r1; DeltaTime: 0.100",62038.13
48,2025-09-08 15:44:23.299,PickUpHL,PickUpHL_lp1_fp1_r1,FAILED,"Subtree execution failed",66591.33
49,2025-09-08 15:44:24.348,PickUpHL,PickUpHL_lp2_fp9_r1,STARTED,"High-level execution with subtree: FF_Default_DynamicFlow_PickUpHL_lp2_fp9_r1; DeltaTime: 0.100",67640.03
50,2025-09-08 15:44:28.870,PickUpHL,PickUpHL_lp2_fp9_r1,FAILED,"Subtree execution failed",72162.08
51,2025-09-08 15:44:30.257,PickUpHL,PickUpHL_lp3_fp17_r1,STARTED,"High-level execution with subtree: FF_Default_DynamicFlow_PickUpHL_lp3_fp17_r1; DeltaTime: 0.100",73549.22
52,2025-09-08 15:44:35.105,TravelML,TravelML_r1_pr4_fp17,STARTED,"Normal execution; DeltaTime: 0.100",78397.23
53,2025-09-08 15:44:35.106,TravelML,TravelML_r1_pr4_fp17,STARTED,"DeltaTime: 0.100",78398.34
54,2025-09-08 15:44:35.208,TravelML,TravelML_r1_pr4_fp17,COMPLETED,"Effects applied successfully",78500.37
55,2025-09-08 15:44:35.902,PickUpHL,PickUpHL_lp3_fp17_r1,STARTED,"High-level execution with subtree: FF_Default_DynamicFlow_PickUpHL_lp3_fp17_r1; DeltaTime: 0.100",79194.37
56,2025-09-08 15:44:35.924,PickUpML,PickUpML_lp3_fp17_r1_vg1,STARTED,"Normal execution; DeltaTime: 0.100",79216.31
57,2025-09-08 15:44:35.925,PickUpML,PickUpML_lp3_fp17_r1_vg1,STARTED,"DeltaTime: 0.100",79216.55
58,2025-09-08 15:44:35.969,PickUpML,PickUpML_lp3_fp17_r1_vg1,COMPLETED,"Effects applied successfully",79261.02
59,2025-09-08 15:44:35.974,PickUpHL,PickUpHL_lp3_fp17_r1,COMPLETED,"Subtree execution completed successfully",79266.46
60,2025-09-08 15:44:37.608,PlaceHL,PlaceHL_lp3_pr3_r1,STARTED,"High-level execution with subtree: FF_Default_DynamicFlow_PlaceHL_lp3_pr3_r1; DeltaTime: 0.100",80899.65
61,2025-09-08 15:44:42.327,PlaceHL,PlaceHL_lp3_pr3_r1,FAILED,"Subtree execution failed",85619.31
62,2025-09-08 15:44:43.613,GluingPLateHL,GluingPlateHL_lp4_pr4_r1,STARTED,"High-level execution with subtree: FF_Default_DynamicFlow_GluingPlateHL_lp4_pr4_r1; DeltaTime: 0.100",86904.99
63,2025-09-08 15:44:48.602,GluingPLateHL,GluingPlateHL_lp4_pr4_r1,FAILED,"Subtree execution failed",91893.78
64,2025-09-08 15:44:50.547,PickUpHL,PickUpHL_lp1_fp1_r1,STARTED,"High-level execution with subtree: FF_Default_DynamicFlow_PickUpHL_lp1_fp1_r1; DeltaTime: 0.100",93839.12
65,2025-09-08 15:44:55.118,PickUpHL,PickUpHL_lp1_fp1_r1,FAILED,"Subtree execution failed",98410.13
66,2025-09-08 15:44:56.340,PickUpHL,PickUpHL_lp2_fp9_r1,STARTED,"High-level execution with subtree: FF_Default_DynamicFlow_PickUpHL_lp2_fp9_r1; DeltaTime: 0.100",99631.56
67,2025-09-08 15:45:00.914,PickUpHL,PickUpHL_lp2_fp9_r1,FAILED,"Subtree execution failed",104205.84
68,2025-09-08 15:45:02.432,PlaceHL,PlaceHL_lp3_pr3_r1,STARTED,"High-level execution with subtree: FF_Default_DynamicFlow_PlaceHL_lp3_pr3_r1; DeltaTime: 0.100",105723.98
69,2025-09-08 15:45:02.557,TravelML,TravelML_r1_fp17_pr3,STARTED,"Normal execution; DeltaTime: 0.100",105849.09
70,2025-09-08 15:45:02.558,TravelML,TravelML_r1_fp17_pr3,STARTED,"DeltaTime: 0.100",105849.68
71,2025-09-08 15:45:02.722,TravelML,TravelML_r1_fp17_pr3,COMPLETED,"Effects applied successfully",106013.82
72,2025-09-08 15:45:04.416,PlaceHL,PlaceHL_lp3_pr3_r1,STARTED,"High-level execution with subtree: FF_Default_DynamicFlow_PlaceHL_lp3_pr3_r1; DeltaTime: 0.100",107707.67
73,2025-09-08 15:45:04.517,PlaceML,PlaceML_lp3_pr3_r1_vg1,STARTED,"Normal execution; DeltaTime: 0.100",107809.29
74,2025-09-08 15:45:04.518,PlaceML,PlaceML_lp3_pr3_r1_vg1,STARTED,"DeltaTime: 0.100",107810.05
75,2025-09-08 15:45:04.628,PlaceML,PlaceML_lp3_pr3_r1_vg1,COMPLETED,"Effects applied successfully",107919.98
76,2025-09-08 15:45:04.641,PlaceHL,PlaceHL_lp3_pr3_r1,COMPLETED,"Subtree execution completed successfully",107932.67
77,2025-09-08 15:45:05.537,GluingPLateHL,GluingPlateHL_lp3_pr3_r1,STARTED,"High-level execution with subtree: FF_Default_DynamicFlow_GluingPlateHL_lp3_pr3_r1; DeltaTime: 0.100",108829.01
78,2025-09-08 15:45:09.811,GluingPLateHL,GluingPlateHL_lp3_pr3_r1,FAILED,"Subtree execution failed",113103.33
79,2025-09-08 15:45:10.939,GluingPLateHL,GluingPlateHL_lp4_pr4_r1,STARTED,"High-level execution with subtree: FF_Default_DynamicFlow_GluingPlateHL_lp4_pr4_r1; DeltaTime: 0.100",114231.49
80,2025-09-08 15:45:14.421,GluingPLateHL,GluingPlateHL_lp4_pr4_r1,FAILED,"Subtree execution failed",117713.32
81,2025-09-08 15:45:16.235,PickUpHL,PickUpHL_lp1_fp1_r1,STARTED,"High-level execution with subtree: FF_Default_DynamicFlow_PickUpHL_lp1_fp1_r1; DeltaTime: 0.100",119526.56
82,2025-09-08 15:45:19.606,PickUpHL,PickUpHL_lp1_fp1_r1,FAILED,"Subtree execution failed",122898.46
83,2025-09-08 15:45:21.230,PickUpHL,PickUpHL_lp2_fp9_r1,STARTED,"High-level execution with subtree: FF_Default_DynamicFlow_PickUpHL_lp2_fp9_r1; DeltaTime: 0.100",124522.37
84,2025-09-08 15:45:25.505,TravelML,TravelML_r1_pr3_fp9,STARTED,"Normal execution; DeltaTime: 0.100",128796.88
85,2025-09-08 15:45:25.506,TravelML,TravelML_r1_pr3_fp9,STARTED,"DeltaTime: 0.100",128797.63
86,2025-09-08 15:45:25.569,TravelML,TravelML_r1_pr3_fp9,COMPLETED,"Effects applied successfully",128861.42
87,2025-09-08 15:45:26.680,PickUpHL,PickUpHL_lp2_fp9_r1,STARTED,"High-level execution with subtree: FF_Default_DynamicFlow_PickUpHL_lp2_fp9_r1; DeltaTime: 0.100",129972.38
88,2025-09-08 15:45:26.794,PickUpML,PickUpML_lp2_fp9_r1_vg1,STARTED,"Normal execution; DeltaTime: 0.100",130085.78
89,2025-09-08 15:45:26.795,PickUpML,PickUpML_lp2_fp9_r1_vg1,STARTED,"DeltaTime: 0.100",130087.34
90,2025-09-08 15:45:26.969,PickUpML,PickUpML_lp2_fp9_r1_vg1,COMPLETED,"Effects applied successfully",130261.50
91,2025-09-08 15:45:26.995,PickUpHL,PickUpHL_lp2_fp9_r1,COMPLETED,"Subtree execution completed successfully",130287.52
92,2025-09-08 15:45:28.071,PlaceHL,PlaceHL_lp2_pr2_r1,STARTED,"High-level execution with subtree: FF_Default_DynamicFlow_PlaceHL_lp2_pr2_r1; DeltaTime: 0.100",131363.35
93,2025-09-08 15:45:31.929,PlaceHL,PlaceHL_lp2_pr2_r1,FAILED,"Subtree execution failed",135220.89
94,2025-09-08 15:45:33.214,GluingPLateHL,GluingPlateHL_lp3_pr3_r1,STARTED,"High-level execution with subtree: FF_Default_DynamicFlow_GluingPlateHL_lp3_pr3_r1; DeltaTime: 0.100",136505.89
95,2025-09-08 15:45:37.424,GluingPLateHL,GluingPlateHL_lp3_pr3_r1,FAILED,"Subtree execution failed",140715.81
96,2025-09-08 15:45:38.080,GluingPLateHL,GluingPlateHL_lp4_pr4_r1,STARTED,"High-level execution with subtree: FF_Default_DynamicFlow_GluingPlateHL_lp4_pr4_r1; DeltaTime: 0.100",141372.36
97,2025-09-08 15:45:42.852,GluingPLateHL,GluingPlateHL_lp4_pr4_r1,FAILED,"Subtree execution failed",146144.34
98,2025-09-08 15:45:44.664,PickUpHL,PickUpHL_lp1_fp1_r1,STARTED,"High-level execution with subtree: FF_Default_DynamicFlow_PickUpHL_lp1_fp1_r1; DeltaTime: 0.100",147956.01
99,2025-09-08 15:45:48.902,PickUpHL,PickUpHL_lp1_fp1_r1,FAILED,"Subtree execution failed",152194.43
100,2025-09-08 15:45:50.288,PlaceHL,PlaceHL_lp2_pr2_r1,STARTED,"High-level execution with subtree: FF_Default_DynamicFlow_PlaceHL_lp2_pr2_r1; DeltaTime: 0.100",153579.72
