CallNumber,Timestamp,PlannerName,HLActionInstance,ProblemFile,Success,PlannerTimeMs,TotalTimeMs,ActionsGenerated,PlanLength,Error
74,2026-07-01 15:01:29.675,LAMA-FIRST,PickUpHL_b2_fp3_r1,Plannerinputs/generated/problemPickUpHL_b2_fp3_r1.pddl,True,3158.53,3206.32,3,0,
75,2026-07-01 15:01:32.925,LAMA-FIRST,PickUpHL_b8_fp11_r1,Plannerinputs/generated/problemPickUpHL_b8_fp11_r1.pddl,True,3164.10,3242.53,3,0,
76,2026-07-01 15:01:36.217,FF,StackHL_b13_lp3_r1_pr3_lay3_m3,Plannerinputs/generated/problemStackHL_b13_lp3_r1_pr3_lay3_m3.pddl,True,267.71,316.26,2,0,
77,2026-07-01 15:01:37.076,FF,PickUpHL_b19_fp26_r1,Plannerinputs/generated/problemPickUpHL_b19_fp26_r1.pddl,True,269.31,333.74,2,0,
78,2026-07-01 15:01:37.577,LAMA-FIRST,PickUpHL_b2_fp3_r1,Plannerinputs/generated/problemPickUpHL_b2_fp3_r1.pddl,True,3011.95,3069.55,2,0,
79,2026-07-01 15:01:40.683,LAMA-FIRST,PickUpHL_b8_fp11_r1,Plannerinputs/generated/problemPickUpHL_b8_fp11_r1.pddl,True,2996.87,3045.61,2,0,
80,2026-07-01 15:01:43.800,FF,PickUpHL_b14_fp19_r1,Plannerinputs/generated/problemPickUpHL_b14_fp19_r1.pddl,True,273.92,367.70,2,0,
81,2026-07-01 15:01:44.854,LAMA-FIRST,PickUpHL_b2_fp3_r1,Plannerinputs/generated/problemPickUpHL_b2_fp3_r1.pddl,True,2984.26,3035.18,3,0,
82,2026-07-01 15:01:47.911,LAMA-FIRST,PickUpHL_b8_fp11_r1,Plannerinputs/generated/problemPickUpHL_b8_fp11_r1.pddl,True,3004.03,3050.82,3,0,
83,2026-07-01 15:01:50.994,FF,PickUpHL_b14_fp19_r1,Plannerinputs/generated/problemPickUpHL_b14_fp19_r1.pddl,True,272.15,346.28,3,0,
84,2026-07-01 15:01:51.432,FF,StackHL_b19_lp4_r1_pr4_lay4_m4,Plannerinputs/generated/problemStackHL_b19_lp4_r1_pr4_lay4_m4.pddl,True,264.80,328.39,2,0,
85,2026-07-01 15:01:52.434,LAMA-FIRST,PickUpHL_b2_fp3_r1,Plannerinputs/generated/problemPickUpHL_b2_fp3_r1.pddl,True,2930.26,2981.24,2,0,
86,2026-07-01 15:01:55.455,LAMA-FIRST,PickUpHL_b8_fp11_r1,Plannerinputs/generated/problemPickUpHL_b8_fp11_r1.pddl,True,2909.67,2948.37,2,0,
87,2026-07-01 15:01:58.459,FF,PickUpHL_b14_fp19_r1,Plannerinputs/generated/problemPickUpHL_b14_fp19_r1.pddl,True,266.79,332.64,2,0,
88,2026-07-01 15:01:58.862,FF,PickUpHL_b20_fp27_r1,Plannerinputs/generated/problemPickUpHL_b20_fp27_r1.pddl,True,265.77,325.88,2,0,
89,2026-07-01 15:01:59.886,LAMA-FIRST,PickUpHL_b8_fp11_r1,Plannerinputs/generated/problemPickUpHL_b8_fp11_r1.pddl,True,3167.23,3209.30,3,0,
90,2026-07-01 15:02:03.142,FF,PickUpHL_b14_fp19_r1,Plannerinputs/generated/problemPickUpHL_b14_fp19_r1.pddl,True,296.82,375.18,3,0,
91,2026-07-01 15:02:03.571,FF,PickUpHL_b20_fp27_r1,Plannerinputs/generated/problemPickUpHL_b20_fp27_r1.pddl,True,300.22,373.97,3,0,
92,2026-07-01 15:02:04.152,LAMA-FIRST,StackHL_b2_lp1_r1_pr1_lay1_m1,Plannerinputs/generated/problemStackHL_b2_lp1_r1_pr1_lay1_m1.pddl,True,4402.30,4446.63,2,0,
93,2026-07-01 15:02:09.134,LAMA-FIRST,PickUpHL_b8_fp11_r1,Plannerinputs/generated/problemPickUpHL_b8_fp11_r1.pddl,True,2921.84,2966.62,2,0,
94,2026-07-01 15:02:12.132,FF,PickUpHL_b14_fp19_r1,Plannerinputs/generated/problemPickUpHL_b14_fp19_r1.pddl,True,269.25,351.63,2,0,
95,2026-07-01 15:02:12.503,FF,PickUpHL_b20_fp27_r1,Plannerinputs/generated/problemPickUpHL_b20_fp27_r1.pddl,True,264.59,317.06,2,0,
96,2026-07-01 15:02:12.993,LAMA-FIRST,PickUpHL_b6_fp8_r1,Plannerinputs/generated/problemPickUpHL_b6_fp8_r1.pddl,True,2885.42,2919.79,2,0,
97,2026-07-01 15:02:16.487,FF,PickUpHL_b14_fp19_r1,Plannerinputs/generated/problemPickUpHL_b14_fp19_r1.pddl,True,270.85,338.83,3,0,
