PlannerType,CallCount,SuccessfulCalls,FailedCalls,SuccessRate,AvgPlannerTimeMs,AvgTotalTimeMs,AvgActionsGenerated,AvgPlanLength,TotalPlannerTimeMs,TotalServiceTimeMs
LAMA-FIRST,735,735,0,100.00%,3082.30,3145.78,4.5,0.0,2265487.05,2312149.50
FF,735,735,0,100.00%,270.10,349.96,3.9,0.0,198524.57,257221.90
ENHSP,12,12,0,100.00%,1364.30,1556.77,31.0,0.0,16371.64,18681.21
TOTAL,1482,1482,0,100.00%,1673.67,1746.32,4.4,0.0,2480383.26,2588052.62
