NodeType,TotalTicks,AverageServicesTimeMs,AverageDecoratorsTimeMs,AverageNodeLogicTimeMs,AverageChildrenTimeMs,AverageTotalTickTimeMs,TotalServicesTimeMs,TotalDecoratorsTimeMs,TotalNodeLogicTimeMs,TotalChildrenTimeMs,TotalTickTimeMs
BTFlowNodeComposite,2408,1.24,0.09,2294.85,0.02,2296.19,2983.19,208.90,5525988.25,53.98,5529234.89
BTFlowNodeDynamic_FF,582,65.33,3.03,0.13,13.42,81.90,38020.83,1761.09,76.20,7809.97,47668.26
BTFlowNodeDynamic_LAMA-FIRST,570,674.11,3.85,0.17,15.58,693.71,384240.84,2192.59,98.21,8880.22,395412.03
BTFlowNodeDynamic_PDDL,4701,0.98,1.28,0.19,580.61,583.06,4624.09,6005.44,889.69,2729455.80,2740976.08
GenericBTAction,5469,6.06,0.50,0.24,482.87,489.67,33135.23,2719.03,1327.85,2640831.16,2678014.54
TOTAL,13730,33.72,0.94,402.65,392.35,829.67,463004.17,12887.04,5528380.20,5387031.14,11391305.81
BTFlowNodeDynamic_ENHSP,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
