Category,Count,BeforeTicking,AfterTicking,GenerationTimeMs,AverageTimeMs,MostCommonInstance,MostCommonCount
PredicateTypes,19,19,0,0.00,0.00,N/A,0
ActionTypes,22,22,0,0.00,0.00,N/A,0
ParameterTypes,12,12,0,0.00,0.00,N/A,0
ActionInstances,9,2,20,22.37,2.49,TravelML,3
ParameterInstances,17,17,0,4.52,0.27,Location,8
PredicateInstances,25,18,0,17.09,0.68,atplace,4
PredicateNegationCount,21,0,0,0.00,0.00,N/A,0
