Problem,System,HL_Planner,ML_Planner,HL_Planning_Time_ms,HL_Plan_Length,ML_Invocations,ML_Total_Planning_Time_ms,ML_Max_Single_Call_ms,ML_Avg_Call_ms,ML_Avg_Plan_Length,Total_Planning_Time_ms,Total_Service_Overhead_ms,ML_Total_Actions,Grounded_Operators_Per_ML_Call,Total_Ticks,Total_Execution_Time_s,Objects_Per_ML_Call,Result,PlanSys2_Planning_Time_ms,PlanSys2_Result,Notes
P0: PickUp lp1 only,APTree,ENHSP,TFD,710,1,1,735,735,735,5.0,1445,1726,5,152,8,4.1,17,Success,TBD,TBD,"HL: 710ms (1 action: pickUpHL). ML: 1 TFD call (5 actions makespan=15.03 search=3.7ms)"
P1: Pick+Place lp1 (no gluing),APTree,ENHSP,TFD,708,2,2,1435,717,717,3.5,2143,2379,7,152,11,6.0,17,Success,TBD,TBD,"HL: 708ms (2 actions). ML: 2 TFD calls. PickUpHL_lp1 (5 actions) + PlaceHL_lp1 (2 actions). Avg=3.5 actions/call"
P2: Pick+Place+Glue lp1,APTree,ENHSP,TFD,701,3,3,2262,754,754,5.0,2964,3346,15,152,20,9.8,17,Success,TBD,TBD,"HL: 701ms (3 actions). ML: 3 TFD calls. PickUpHL (5) + PlaceHL (2) + GluingPlateHL (8). Avg=5.0 actions/call"
P3: P2 + Pick+Stack b1,APTree,ENHSP,TFD,743,5,5,3562,712,712,5.2,4305,5214,26,126-152,33,16.6,17,Success,TBD,TBD,"HL: 743ms (5 actions). ML: 5 TFD calls. PickUp(5)+Place(2)+Gluing(8)+PickUpB1(2)+Stack(2). Avg=5.2"
P4: P3 + Pick+Stack b2,APTree,ENHSP,TFD,4082,7,7,6380,911,911,4.3,10462,11096,30,126-152,39,20.2,17,Success,TBD,FAILED - OOM,"HL: 4082ms (7 actions). ML: 7 TFD calls. Avg=4.3 actions/call. StackHL_b1 1261 states. PlanSys2 OOM."
