NodeType,TotalTicks,AverageServicesTimeMs,AverageDecoratorsTimeMs,AverageNodeLogicTimeMs,AverageChildrenTimeMs,AverageTotalTickTimeMs,TotalServicesTimeMs,TotalDecoratorsTimeMs,TotalNodeLogicTimeMs,TotalChildrenTimeMs,TotalTickTimeMs
BTFlowNodeComposite,2402,0.87,0.05,564.24,0.02,565.19,2092.34,124.70,1355312.65,45.07,1357575.12
BTFlowNodeDynamic_FF,1152,69.35,2.33,0.11,10.65,82.44,79890.84,2678.51,127.63,12268.48,94965.64
BTFlowNodeDynamic_PDDL,4689,0.64,0.86,0.14,138.58,140.23,3004.39,4048.24,669.42,649797.03,657520.14
GenericBTAction,5457,4.69,0.33,0.18,107.13,112.32,25596.17,1792.80,965.46,584590.21,612945.59
TOTAL,13700,8.07,0.63,99.06,91.00,198.76,110583.73,8644.25,1357075.16,1246700.80,2723006.49
BTFlowNodeDynamic_ENHSP,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
BTFlowNodeDynamic_LAMA-FIRST,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
