Category,Count,BeforeTicking,AfterTicking,GenerationTimeMs,AverageTimeMs,MostCommonInstance,MostCommonCount
PredicateTypes,19,19,0,0.00,0.00,N/A,0
ActionTypes,23,22,0,0.00,0.00,N/A,0
ParameterTypes,12,12,0,0.00,0.00,N/A,0
ActionInstances,18,2,39,50.16,2.79,TravelML,6
ParameterInstances,17,17,0,4.16,0.24,Location,8
PredicateInstances,29,18,0,17.84,0.62,positionfree,5
PredicateNegationCount,32,0,0,0.00,0.00,N/A,0
