CallNumber,Timestamp,PlannerName,HLActionInstance,ProblemFile,Success,PlannerTimeMs,TotalTimeMs,ActionsGenerated,PlanLength,Error
483,2026-07-06 17:16:53.645,FF,MoveCassetteToStackHL_tp1_lp1_pr1_sp1_r1_m1_lay1,Plannerinputs/generated/problemMoveCassetteToStackHL_tp1_lp1_pr1_sp1_r1_m1_lay1.pddl,True,260.74,394.72,10,0,
484,2026-07-06 17:16:54.112,FF,MoveCassetteToStackHL_tp2_lp2_pr2_sp2_r1_m2_lay2,Plannerinputs/generated/problemMoveCassetteToStackHL_tp2_lp2_pr2_sp2_r1_m2_lay2.pddl,True,248.81,383.02,10,0,
485,2026-07-06 17:16:54.990,FF,MoveCassetteToStackHL_tp4_lp4_pr4_sp4_r1_m4_lay4,Plannerinputs/generated/problemMoveCassetteToStackHL_tp4_lp4_pr4_sp4_r1_m4_lay4.pddl,True,260.52,400.33,10,0,
486,2026-07-06 17:16:55.571,FF,MoveCassetteToStackHL_tp1_lp1_pr1_sp1_r1_m1_lay1,Plannerinputs/generated/problemMoveCassetteToStackHL_tp1_lp1_pr1_sp1_r1_m1_lay1.pddl,True,247.96,387.13,10,0,
487,2026-07-06 17:16:56.056,FF,MoveCassetteToStackHL_tp2_lp2_pr2_sp2_r1_m2_lay2,Plannerinputs/generated/problemMoveCassetteToStackHL_tp2_lp2_pr2_sp2_r1_m2_lay2.pddl,True,247.23,390.47,10,0,
488,2026-07-06 17:16:56.515,FF,MoveCassetteToStackHL_tp3_lp3_pr3_sp3_r1_m3_lay3,Plannerinputs/generated/problemMoveCassetteToStackHL_tp3_lp3_pr3_sp3_r1_m3_lay3.pddl,True,251.45,378.49,10,0,
489,2026-07-06 17:16:59.292,FF,MoveCassetteToStackHL_tp1_lp1_pr1_sp1_r1_m1_lay1,Plannerinputs/generated/problemMoveCassetteToStackHL_tp1_lp1_pr1_sp1_r1_m1_lay1.pddl,True,256.52,380.93,4,0,
490,2026-07-06 17:16:59.718,FF,MoveCassetteToStackHL_tp2_lp2_pr2_sp2_r1_m2_lay2,Plannerinputs/generated/problemMoveCassetteToStackHL_tp2_lp2_pr2_sp2_r1_m2_lay2.pddl,True,261.28,352.31,4,0,
491,2026-07-06 17:17:00.124,FF,MoveCassetteToStackHL_tp3_lp3_pr3_sp3_r1_m3_lay3,Plannerinputs/generated/problemMoveCassetteToStackHL_tp3_lp3_pr3_sp3_r1_m3_lay3.pddl,True,246.18,341.75,4,0,
492,2026-07-06 17:17:01.550,FF,MoveCassetteToStackHL_tp2_lp2_pr2_sp2_r1_m2_lay2,Plannerinputs/generated/problemMoveCassetteToStackHL_tp2_lp2_pr2_sp2_r1_m2_lay2.pddl,True,251.98,333.01,4,0,
493,2026-07-06 17:17:01.900,FF,MoveCassetteToStackHL_tp3_lp3_pr3_sp3_r1_m3_lay3,Plannerinputs/generated/problemMoveCassetteToStackHL_tp3_lp3_pr3_sp3_r1_m3_lay3.pddl,True,253.27,346.21,4,0,
