PlannerType,CallCount,SuccessfulCalls,FailedCalls,SuccessRate,AvgPlannerTimeMs,AvgTotalTimeMs,AvgActionsGenerated,AvgPlanLength,TotalPlannerTimeMs,TotalServiceTimeMs
FF,1470,1470,0,100.00%,266.86,350.03,4.2,0.0,392282.37,514539.34
ENHSP,12,12,0,100.00%,1303.60,1493.42,31.0,0.0,15643.25,17921.00
TOTAL,1482,1482,0,100.00%,275.25,359.28,4.4,0.0,407925.62,532460.34
