ReplanNumber,Timestamp,SubtreeName,OldPlanNodes,NodesReplaced,NodesAlreadyFinished,NewPlanNodes,TotalBTNodes,TotalFlowNodes,TotalActionNodes,TotalMLActions,PRR_Subtree_Percent,BTNodeSize_Percent,BTWidthChange_Percent
291,2026-07-06 17:16:05.333,FF_Default_DynamicFlow_PickUpHL_tp2_fp13_r1,9,9,0,9,440,115,325,201,100.0,2.0,0.00
292,2026-07-06 17:16:07.217,FF_Default_DynamicFlow_GluingBeamHL_b19_r1_m4_lay4,2,2,0,2,453,116,337,213,100.0,0.4,0.00
293,2026-07-06 17:16:07.218,FF_Default_DynamicFlow_PickUpHL_tp1_fp5_r1,9,9,0,9,451,116,335,211,100.0,2.0,0.00
294,2026-07-06 17:16:07.220,FF_Default_DynamicFlow_PickUpHL_tp2_fp13_r1,9,9,0,9,442,116,326,202,100.0,2.0,0.00
295,2026-07-06 17:16:08.990,FF_Default_DynamicFlow_GluingBeamHL_b19_r1_m4_lay4,2,2,0,2,455,117,338,214,100.0,0.4,0.00
296,2026-07-06 17:16:08.991,FF_Default_DynamicFlow_PickUpHL_tp1_fp5_r1,9,9,0,9,453,117,336,212,100.0,2.0,0.00
297,2026-07-06 17:16:08.993,FF_Default_DynamicFlow_PickUpHL_tp2_fp13_r1,9,9,0,9,444,117,327,203,100.0,2.0,0.00
298,2026-07-06 17:16:10.862,FF_Default_DynamicFlow_GluingBeamHL_b19_r1_m4_lay4,2,2,0,2,457,118,339,215,100.0,0.4,0.00
299,2026-07-06 17:16:10.863,FF_Default_DynamicFlow_PickUpHL_tp1_fp5_r1,9,9,0,9,455,118,337,213,100.0,2.0,0.00
300,2026-07-06 17:16:10.865,FF_Default_DynamicFlow_PickUpHL_tp2_fp13_r1,9,9,0,9,446,118,328,204,100.0,2.0,0.00
301,2026-07-06 17:16:12.745,FF_Default_DynamicFlow_GluingBeamHL_b19_r1_m4_lay4,2,2,0,2,459,119,340,216,100.0,0.4,0.00
302,2026-07-06 17:16:12.746,FF_Default_DynamicFlow_PickUpHL_tp1_fp5_r1,9,9,0,9,457,119,338,214,100.0,2.0,0.00
303,2026-07-06 17:16:12.747,FF_Default_DynamicFlow_PickUpHL_tp2_fp13_r1,9,9,0,9,448,119,329,205,100.0,2.0,0.00
304,2026-07-06 17:16:14.663,FF_Default_DynamicFlow_GluingBeamHL_b19_r1_m4_lay4,2,2,0,2,461,120,341,217,100.0,0.4,0.00
305,2026-07-06 17:16:14.664,FF_Default_DynamicFlow_PickUpHL_tp1_fp5_r1,9,9,0,9,459,120,339,215,100.0,2.0,0.00
306,2026-07-06 17:16:14.665,FF_Default_DynamicFlow_PickUpHL_tp2_fp13_r1,9,9,0,9,450,120,330,206,100.0,2.0,0.00
307,2026-07-06 17:16:16.719,FF_Default_DynamicFlow_PickUpHL_tp1_fp5_r1,9,9,0,9,471,121,350,226,100.0,1.9,0.00
308,2026-07-06 17:16:16.721,FF_Default_DynamicFlow_PickUpHL_tp2_fp13_r1,9,9,0,9,462,121,341,217,100.0,1.9,0.00
309,2026-07-06 17:16:16.722,FF_Default_DynamicFlow_PickUpHL_tp3_fp21_r1,9,9,0,9,453,121,332,208,100.0,2.0,0.00
310,2026-07-06 17:16:18.569,FF_Default_DynamicFlow_PickUpHL_tp1_fp5_r1,9,9,0,9,473,122,351,227,100.0,1.9,0.00
311,2026-07-06 17:16:18.571,FF_Default_DynamicFlow_PickUpHL_tp2_fp13_r1,9,9,0,9,464,122,342,218,100.0,1.9,0.00
312,2026-07-06 17:16:18.573,FF_Default_DynamicFlow_PickUpHL_tp3_fp21_r1,9,9,0,9,455,122,333,209,100.0,2.0,0.00
313,2026-07-06 17:16:20.419,FF_Default_DynamicFlow_PickUpHL_tp1_fp5_r1,9,9,0,9,475,123,352,228,100.0,1.9,0.00
314,2026-07-06 17:16:20.420,FF_Default_DynamicFlow_PickUpHL_tp2_fp13_r1,9,9,0,9,466,123,343,219,100.0,1.9,0.00
315,2026-07-06 17:16:20.422,FF_Default_DynamicFlow_PickUpHL_tp3_fp21_r1,9,9,0,9,457,123,334,210,100.0,2.0,0.00
316,2026-07-06 17:16:22.353,FF_Default_DynamicFlow_PickUpHL_tp1_fp5_r1,9,9,0,9,477,124,353,229,100.0,1.9,0.00
317,2026-07-06 17:16:22.354,FF_Default_DynamicFlow_PickUpHL_tp2_fp13_r1,9,9,0,9,468,124,344,220,100.0,1.9,0.00
318,2026-07-06 17:16:22.355,FF_Default_DynamicFlow_PickUpHL_tp3_fp21_r1,9,9,0,9,459,124,335,211,100.0,2.0,0.00
319,2026-07-06 17:16:24.192,FF_Default_DynamicFlow_PickUpHL_tp1_fp5_r1,9,9,0,9,479,125,354,230,100.0,1.9,0.00
320,2026-07-06 17:16:24.194,FF_Default_DynamicFlow_PickUpHL_tp2_fp13_r1,9,9,0,9,470,125,345,221,100.0,1.9,0.00
321,2026-07-06 17:16:24.196,FF_Default_DynamicFlow_PickUpHL_tp3_fp21_r1,9,9,0,9,461,125,336,212,100.0,2.0,0.00
322,2026-07-06 17:16:26.062,FF_Default_DynamicFlow_PickUpHL_tp1_fp5_r1,9,9,0,9,481,126,355,231,100.0,1.9,0.00
323,2026-07-06 17:16:26.063,FF_Default_DynamicFlow_PickUpHL_tp2_fp13_r1,9,9,0,9,472,126,346,222,100.0,1.9,0.00
324,2026-07-06 17:16:26.064,FF_Default_DynamicFlow_PickUpHL_tp3_fp21_r1,9,9,0,9,463,126,337,213,100.0,1.9,0.00
325,2026-07-06 17:16:29.441,FF_Default_DynamicFlow_PickUpHL_tp1_fp5_r1,9,9,0,3,490,127,363,239,100.0,1.8,2.51
326,2026-07-06 17:16:29.444,FF_Default_DynamicFlow_PickUpHL_tp2_fp13_r1,9,9,0,3,481,127,354,230,100.0,1.9,2.61
327,2026-07-06 17:16:29.445,FF_Default_DynamicFlow_PickUpHL_tp3_fp21_r1,9,9,0,3,472,127,345,221,100.0,1.9,2.71
328,2026-07-06 17:16:31.671,FF_Default_DynamicFlow_PickUpHL_tp1_fp5_r1,3,3,0,2,475,128,347,223,100.0,0.6,0.45
329,2026-07-06 17:16:31.674,FF_Default_DynamicFlow_PickUpHL_tp2_fp13_r1,3,3,0,2,472,128,344,220,100.0,0.6,0.45
330,2026-07-06 17:16:31.674,FF_Default_DynamicFlow_PickUpHL_tp3_fp21_r1,3,3,0,2,469,128,341,217,100.0,0.6,0.46
331,2026-07-06 17:16:33.823,FF_Default_DynamicFlow_PickUpHL_tp2_fp13_r1,2,2,0,3,481,129,352,228,100.0,0.4,-0.44
332,2026-07-06 17:16:33.825,FF_Default_DynamicFlow_PickUpHL_tp3_fp21_r1,2,2,0,3,479,129,350,226,100.0,0.4,-0.44
333,2026-07-06 17:16:33.827,FF_Default_DynamicFlow_NailingHL_tp4_r1,8,8,0,11,477,129,348,224,100.0,1.7,-1.34
334,2026-07-06 17:16:35.986,FF_Default_DynamicFlow_PickUpHL_tp2_fp13_r1,3,3,0,2,489,130,359,235,100.0,0.6,0.43
335,2026-07-06 17:16:35.989,FF_Default_DynamicFlow_PickUpHL_tp3_fp21_r1,3,3,0,2,486,130,356,232,100.0,0.6,0.43
336,2026-07-06 17:16:35.992,FF_Default_DynamicFlow_NailingHL_tp4_r1,11,11,0,8,483,130,353,229,100.0,2.3,1.31
337,2026-07-06 17:16:38.148,FF_Default_DynamicFlow_PickUpHL_tp3_fp21_r1,2,2,0,3,493,131,362,238,100.0,0.4,-0.42
338,2026-07-06 17:16:38.150,FF_Default_DynamicFlow_NailingHL_tp4_r1,8,8,0,11,491,131,360,236,100.0,1.6,-1.27
339,2026-07-06 17:16:38.151,FF_Default_DynamicFlow_NailingHL_tp1_r1,8,8,0,11,483,131,352,228,100.0,1.7,-1.32
340,2026-07-06 17:16:40.325,FF_Default_DynamicFlow_PickUpHL_tp3_fp21_r1,3,3,0,2,503,132,371,247,100.0,0.6,0.40
341,2026-07-06 17:16:40.327,FF_Default_DynamicFlow_NailingHL_tp4_r1,11,11,0,8,500,132,368,244,100.0,2.2,1.23
342,2026-07-06 17:16:40.328,FF_Default_DynamicFlow_NailingHL_tp1_r1,11,11,0,8,489,132,357,233,100.0,2.2,1.29
343,2026-07-06 17:16:42.446,FF_Default_DynamicFlow_NailingHL_tp4_r1,8,8,0,11,505,133,372,248,100.0,1.6,-1.21
344,2026-07-06 17:16:42.448,FF_Default_DynamicFlow_NailingHL_tp1_r1,8,8,0,11,497,133,364,240,100.0,1.6,-1.25
345,2026-07-06 17:16:42.449,FF_Default_DynamicFlow_NailingHL_tp2_r1,8,8,0,11,489,133,356,232,100.0,1.6,-1.29
346,2026-07-06 17:16:44.629,FF_Default_DynamicFlow_NailingHL_tp4_r1,11,11,0,8,517,134,383,259,100.0,2.1,1.16
347,2026-07-06 17:16:44.630,FF_Default_DynamicFlow_NailingHL_tp1_r1,11,11,0,8,506,134,372,248,100.0,2.2,1.21
348,2026-07-06 17:16:44.633,FF_Default_DynamicFlow_NailingHL_tp2_r1,11,11,0,8,495,134,361,237,100.0,2.2,1.27
349,2026-07-06 17:16:48.176,FF_Default_DynamicFlow_NailingHL_tp1_r1,8,8,0,2,517,135,382,258,100.0,1.5,2.33
350,2026-07-06 17:16:48.179,FF_Default_DynamicFlow_NailingHL_tp2_r1,8,8,0,2,509,135,374,250,100.0,1.6,2.40
351,2026-07-06 17:16:48.181,FF_Default_DynamicFlow_NailingHL_tp3_r1,8,8,0,2,501,135,366,242,100.0,1.6,2.48
352,2026-07-06 17:16:50.413,FF_Default_DynamicFlow_NailingHL_tp2_r1,2,2,0,2,510,136,374,250,100.0,0.4,0.00
353,2026-07-06 17:16:50.415,FF_Default_DynamicFlow_NailingHL_tp3_r1,2,2,0,2,508,136,372,248,100.0,0.4,0.00
354,2026-07-06 17:16:50.416,FF_Default_DynamicFlow_MoveCassetteToStackHL_tp4_lp4_pr4_sp4_r1_m4_lay4,10,10,0,10,506,136,370,246,100.0,2.0,0.00
355,2026-07-06 17:16:52.713,FF_Default_DynamicFlow_NailingHL_tp3_r1,2,2,0,2,521,137,384,260,100.0,0.4,0.00
356,2026-07-06 17:16:52.715,FF_Default_DynamicFlow_MoveCassetteToStackHL_tp4_lp4_pr4_sp4_r1_m4_lay4,10,10,0,10,519,137,382,258,100.0,1.9,0.00
357,2026-07-06 17:16:52.718,FF_Default_DynamicFlow_MoveCassetteToStackHL_tp1_lp1_pr1_sp1_r1_m1_lay1,10,10,0,10,509,137,372,248,100.0,2.0,0.00
358,2026-07-06 17:16:54.956,FF_Default_DynamicFlow_MoveCassetteToStackHL_tp4_lp4_pr4_sp4_r1_m4_lay4,10,10,0,10,532,138,394,270,100.0,1.9,0.00
359,2026-07-06 17:16:54.958,FF_Default_DynamicFlow_MoveCassetteToStackHL_tp1_lp1_pr1_sp1_r1_m1_lay1,10,10,0,10,522,138,384,260,100.0,1.9,0.00
360,2026-07-06 17:16:54.959,FF_Default_DynamicFlow_MoveCassetteToStackHL_tp2_lp2_pr2_sp2_r1_m2_lay2,10,10,0,10,512,138,374,250,100.0,2.0,0.00
361,2026-07-06 17:16:59.100,FF_Default_DynamicFlow_MoveCassetteToStackHL_tp1_lp1_pr1_sp1_r1_m1_lay1,10,10,0,4,543,139,404,280,100.0,1.8,2.14
362,2026-07-06 17:16:59.103,FF_Default_DynamicFlow_MoveCassetteToStackHL_tp2_lp2_pr2_sp2_r1_m2_lay2,10,10,0,4,533,139,394,270,100.0,1.9,2.22
363,2026-07-06 17:16:59.105,FF_Default_DynamicFlow_MoveCassetteToStackHL_tp3_lp3_pr3_sp3_r1_m3_lay3,10,10,0,4,523,139,384,260,100.0,1.9,2.31
364,2026-07-06 17:17:01.494,FF_Default_DynamicFlow_MoveCassetteToStackHL_tp2_lp2_pr2_sp2_r1_m2_lay2,4,4,0,4,525,139,386,262,100.0,0.8,0.00
365,2026-07-06 17:17:01.496,FF_Default_DynamicFlow_MoveCassetteToStackHL_tp3_lp3_pr3_sp3_r1_m3_lay3,4,4,0,4,521,139,382,258,100.0,0.8,0.00
366,2026-07-06 17:17:03.225,FF_Default_DynamicFlow_MoveCassetteToStackHL_tp3_lp3_pr3_sp3_r1_m3_lay3,4,4,0,4,525,139,386,262,100.0,0.8,0.00
367,2026-07-06 17:17:13.105,FF_Default_DynamicFlow_PickUpHL_lp6_fp41_r1,2,2,0,3,661,143,518,270,100.0,0.3,-0.37
368,2026-07-06 17:17:13.107,FF_Default_DynamicFlow_PickUpHL_lp7_fp49_r1,2,2,0,3,659,143,516,268,100.0,0.3,-0.37
369,2026-07-06 17:17:13.111,FF_Default_DynamicFlow_PickUpHL_lp8_fp57_r1,2,2,0,3,657,143,514,266,100.0,0.3,-0.38
370,2026-07-06 17:17:15.348,FF_Default_DynamicFlow_PickUpHL_lp6_fp41_r1,3,3,0,2,667,144,523,275,100.0,0.4,0.36
371,2026-07-06 17:17:15.354,FF_Default_DynamicFlow_PickUpHL_lp7_fp49_r1,3,3,0,2,664,144,520,272,100.0,0.5,0.37
372,2026-07-06 17:17:15.359,FF_Default_DynamicFlow_PickUpHL_lp8_fp57_r1,3,3,0,2,661,144,517,269,100.0,0.5,0.37
373,2026-07-06 17:17:17.581,FF_Default_DynamicFlow_PickUpHL_lp7_fp49_r1,2,2,0,3,673,145,528,280,100.0,0.3,-0.36
374,2026-07-06 17:17:17.583,FF_Default_DynamicFlow_PickUpHL_lp8_fp57_r1,2,2,0,3,671,145,526,278,100.0,0.3,-0.36
375,2026-07-06 17:17:17.585,FF_Default_DynamicFlow_GluingPlateHL_lp5_pr1_r1,8,8,0,11,669,145,524,276,100.0,1.2,-1.09
376,2026-07-06 17:17:19.754,FF_Default_DynamicFlow_PickUpHL_lp7_fp49_r1,3,3,0,2,681,146,535,287,100.0,0.4,0.35
377,2026-07-06 17:17:19.758,FF_Default_DynamicFlow_PickUpHL_lp8_fp57_r1,3,3,0,2,678,146,532,284,100.0,0.4,0.35
378,2026-07-06 17:17:19.760,FF_Default_DynamicFlow_GluingPlateHL_lp5_pr1_r1,11,11,0,8,675,146,529,281,100.0,1.6,1.07
379,2026-07-06 17:17:22.095,FF_Default_DynamicFlow_PickUpHL_lp8_fp57_r1,2,2,0,3,685,147,538,290,100.0,0.3,-0.34
380,2026-07-06 17:17:22.096,FF_Default_DynamicFlow_GluingPlateHL_lp5_pr1_r1,8,8,0,11,683,147,536,288,100.0,1.2,-1.04
381,2026-07-06 17:17:22.101,FF_Default_DynamicFlow_GluingPlateHL_lp6_pr2_r1,8,8,0,11,675,147,528,280,100.0,1.2,-1.07
382,2026-07-06 17:17:24.463,FF_Default_DynamicFlow_PickUpHL_lp8_fp57_r1,3,3,0,2,695,148,547,299,100.0,0.4,0.33
383,2026-07-06 17:17:24.464,FF_Default_DynamicFlow_GluingPlateHL_lp5_pr1_r1,11,11,0,8,692,148,544,296,100.0,1.6,1.01
384,2026-07-06 17:17:24.467,FF_Default_DynamicFlow_GluingPlateHL_lp6_pr2_r1,11,11,0,8,681,148,533,285,100.0,1.6,1.05
385,2026-07-06 17:17:26.789,FF_Default_DynamicFlow_GluingPlateHL_lp5_pr1_r1,8,8,0,11,697,149,548,300,100.0,1.1,-1.00
386,2026-07-06 17:17:26.790,FF_Default_DynamicFlow_GluingPlateHL_lp6_pr2_r1,8,8,0,11,689,149,540,292,100.0,1.2,-1.03
387,2026-07-06 17:17:26.793,FF_Default_DynamicFlow_GluingPlateHL_lp7_pr3_r1,8,8,0,11,681,149,532,284,100.0,1.2,-1.06
388,2026-07-06 17:17:29.361,FF_Default_DynamicFlow_GluingPlateHL_lp5_pr1_r1,11,11,0,8,709,150,559,311,100.0,1.6,0.96
389,2026-07-06 17:17:29.363,FF_Default_DynamicFlow_GluingPlateHL_lp6_pr2_r1,11,11,0,8,698,150,548,300,100.0,1.6,1.00
390,2026-07-06 17:17:29.365,FF_Default_DynamicFlow_GluingPlateHL_lp7_pr3_r1,11,11,0,8,687,150,537,289,100.0,1.6,1.04
391,2026-07-06 17:17:33.279,FF_Default_DynamicFlow_GluingPlateHL_lp6_pr2_r1,8,8,0,2,709,151,558,310,100.0,1.1,1.94
392,2026-07-06 17:17:33.281,FF_Default_DynamicFlow_GluingPlateHL_lp7_pr3_r1,8,8,0,2,701,151,550,302,100.0,1.1,1.99
393,2026-07-06 17:17:33.287,FF_Default_DynamicFlow_GluingPlateHL_lp8_pr4_r1,8,8,0,2,693,151,542,294,100.0,1.2,2.04
394,2026-07-06 17:17:35.504,FF_Default_DynamicFlow_GluingPlateHL_lp7_pr3_r1,2,2,0,2,701,152,549,301,100.0,0.3,0.00
395,2026-07-06 17:17:35.506,FF_Default_DynamicFlow_GluingPlateHL_lp8_pr4_r1,2,2,0,2,699,152,547,299,100.0,0.3,0.00
396,2026-07-06 17:17:35.508,FF_Default_DynamicFlow_PickUpHL_b25_fp34_r1,9,9,0,9,697,152,545,297,100.0,1.3,0.00
397,2026-07-06 17:17:37.812,FF_Default_DynamicFlow_GluingPlateHL_lp8_pr4_r1,2,2,0,2,711,153,558,310,100.0,0.3,0.00
398,2026-07-06 17:17:37.813,FF_Default_DynamicFlow_PickUpHL_b25_fp34_r1,9,9,0,9,709,153,556,308,100.0,1.3,0.00
399,2026-07-06 17:17:37.815,FF_Default_DynamicFlow_PickUpHL_b31_fp42_r1,9,9,0,9,700,153,547,299,100.0,1.3,0.00
400,2026-07-06 17:17:40.236,FF_Default_DynamicFlow_PickUpHL_b25_fp34_r1,9,9,0,9,721,154,567,319,100.0,1.2,0.00
401,2026-07-06 17:17:40.237,FF_Default_DynamicFlow_PickUpHL_b31_fp42_r1,9,9,0,9,712,154,558,310,100.0,1.3,0.00
402,2026-07-06 17:17:40.239,FF_Default_DynamicFlow_PickUpHL_b37_fp50_r1,9,9,0,9,703,154,549,301,100.0,1.3,0.00
403,2026-07-06 17:17:44.583,FF_Default_DynamicFlow_PickUpHL_b31_fp42_r1,9,9,0,3,731,155,576,328,100.0,1.2,1.83
404,2026-07-06 17:17:44.588,FF_Default_DynamicFlow_PickUpHL_b37_fp50_r1,9,9,0,3,722,155,567,319,100.0,1.2,1.88
405,2026-07-06 17:17:44.591,FF_Default_DynamicFlow_PickUpHL_b43_fp58_r1,9,9,0,3,713,155,558,310,100.0,1.3,1.94
406,2026-07-06 17:17:46.915,FF_Default_DynamicFlow_PickUpHL_b31_fp42_r1,3,3,0,2,716,156,560,312,100.0,0.4,0.32
407,2026-07-06 17:17:46.916,FF_Default_DynamicFlow_PickUpHL_b37_fp50_r1,3,3,0,2,713,156,557,309,100.0,0.4,0.32
408,2026-07-06 17:17:46.918,FF_Default_DynamicFlow_PickUpHL_b43_fp58_r1,3,3,0,2,710,156,554,306,100.0,0.4,0.33
409,2026-07-06 17:17:49.339,FF_Default_DynamicFlow_PickUpHL_b37_fp50_r1,2,2,0,3,716,157,559,311,100.0,0.3,-0.32
410,2026-07-06 17:17:49.340,FF_Default_DynamicFlow_PickUpHL_b43_fp58_r1,2,2,0,3,714,157,557,309,100.0,0.3,-0.32
411,2026-07-06 17:17:49.341,FF_Default_DynamicFlow_PickUpHL_b26_fp35_r1,2,2,0,3,712,157,555,307,100.0,0.3,-0.33
412,2026-07-06 17:17:51.734,FF_Default_DynamicFlow_PickUpHL_b37_fp50_r1,3,3,0,2,722,158,564,316,100.0,0.4,0.32
413,2026-07-06 17:17:51.736,FF_Default_DynamicFlow_PickUpHL_b43_fp58_r1,3,3,0,2,719,158,561,313,100.0,0.4,0.32
414,2026-07-06 17:17:51.738,FF_Default_DynamicFlow_PickUpHL_b26_fp35_r1,3,3,0,2,716,158,558,310,100.0,0.4,0.32
415,2026-07-06 17:17:54.063,FF_Default_DynamicFlow_PickUpHL_b43_fp58_r1,2,2,0,3,722,159,563,315,100.0,0.3,-0.32
416,2026-07-06 17:17:54.065,FF_Default_DynamicFlow_PickUpHL_b26_fp35_r1,2,2,0,3,720,159,561,313,100.0,0.3,-0.32
417,2026-07-06 17:17:54.065,FF_Default_DynamicFlow_PickUpHL_b32_fp43_r1,2,2,0,3,718,159,559,311,100.0,0.3,-0.32
418,2026-07-06 17:17:56.315,FF_Default_DynamicFlow_PickUpHL_b43_fp58_r1,3,3,0,2,728,160,568,320,100.0,0.4,0.31
419,2026-07-06 17:17:56.317,FF_Default_DynamicFlow_PickUpHL_b26_fp35_r1,3,3,0,2,725,160,565,317,100.0,0.4,0.32
420,2026-07-06 17:17:56.317,FF_Default_DynamicFlow_PickUpHL_b32_fp43_r1,3,3,0,2,722,160,562,314,100.0,0.4,0.32
421,2026-07-06 17:17:58.583,FF_Default_DynamicFlow_PickUpHL_b26_fp35_r1,2,2,0,3,728,161,567,319,100.0,0.3,-0.31
422,2026-07-06 17:17:58.584,FF_Default_DynamicFlow_PickUpHL_b32_fp43_r1,2,2,0,3,726,161,565,317,100.0,0.3,-0.32
423,2026-07-06 17:17:58.586,FF_Default_DynamicFlow_PickUpHL_b38_fp51_r1,2,2,0,3,724,161,563,315,100.0,0.3,-0.32
424,2026-07-06 17:18:00.829,FF_Default_DynamicFlow_PickUpHL_b26_fp35_r1,3,3,0,2,734,162,572,324,100.0,0.4,0.31
425,2026-07-06 17:18:00.830,FF_Default_DynamicFlow_PickUpHL_b32_fp43_r1,3,3,0,2,731,162,569,321,100.0,0.4,0.31
426,2026-07-06 17:18:00.831,FF_Default_DynamicFlow_PickUpHL_b38_fp51_r1,3,3,0,2,728,162,566,318,100.0,0.4,0.31
427,2026-07-06 17:18:03.160,FF_Default_DynamicFlow_PickUpHL_b32_fp43_r1,2,2,0,3,734,163,571,323,100.0,0.3,-0.31
428,2026-07-06 17:18:03.162,FF_Default_DynamicFlow_PickUpHL_b38_fp51_r1,2,2,0,3,732,163,569,321,100.0,0.3,-0.31
429,2026-07-06 17:18:03.163,FF_Default_DynamicFlow_PickUpHL_b44_fp59_r1,2,2,0,3,730,163,567,319,100.0,0.3,-0.31
430,2026-07-06 17:18:05.366,FF_Default_DynamicFlow_PickUpHL_b32_fp43_r1,3,3,0,2,740,164,576,328,100.0,0.4,0.30
431,2026-07-06 17:18:05.368,FF_Default_DynamicFlow_PickUpHL_b38_fp51_r1,3,3,0,2,737,164,573,325,100.0,0.4,0.31
432,2026-07-06 17:18:05.371,FF_Default_DynamicFlow_PickUpHL_b44_fp59_r1,3,3,0,2,734,164,570,322,100.0,0.4,0.31
433,2026-07-06 17:18:07.497,FF_Default_DynamicFlow_PickUpHL_b38_fp51_r1,2,2,0,3,740,165,575,327,100.0,0.3,-0.31
434,2026-07-06 17:18:07.499,FF_Default_DynamicFlow_PickUpHL_b44_fp59_r1,2,2,0,3,738,165,573,325,100.0,0.3,-0.31
435,2026-07-06 17:18:07.500,FF_Default_DynamicFlow_PickUpHL_b30_fp40_r1,2,2,0,3,736,165,571,323,100.0,0.3,-0.31
436,2026-07-06 17:18:09.817,FF_Default_DynamicFlow_PickUpHL_b38_fp51_r1,3,3,0,2,746,166,580,332,100.0,0.4,0.30
437,2026-07-06 17:18:09.819,FF_Default_DynamicFlow_PickUpHL_b44_fp59_r1,3,3,0,2,743,166,577,329,100.0,0.4,0.30
438,2026-07-06 17:18:09.822,FF_Default_DynamicFlow_PickUpHL_b30_fp40_r1,3,3,0,2,740,166,574,326,100.0,0.4,0.31
439,2026-07-06 17:18:12.213,FF_Default_DynamicFlow_PickUpHL_b44_fp59_r1,2,2,0,3,746,167,579,331,100.0,0.3,-0.30
440,2026-07-06 17:18:12.215,FF_Default_DynamicFlow_PickUpHL_b30_fp40_r1,2,2,0,3,744,167,577,329,100.0,0.3,-0.30
441,2026-07-06 17:18:12.216,FF_Default_DynamicFlow_PickUpHL_b36_fp48_r1,2,2,0,3,742,167,575,327,100.0,0.3,-0.31
442,2026-07-06 17:18:14.512,FF_Default_DynamicFlow_PickUpHL_b44_fp59_r1,3,3,0,2,752,168,584,336,100.0,0.4,0.30
443,2026-07-06 17:18:14.514,FF_Default_DynamicFlow_PickUpHL_b30_fp40_r1,3,3,0,2,749,168,581,333,100.0,0.4,0.30
444,2026-07-06 17:18:14.517,FF_Default_DynamicFlow_PickUpHL_b36_fp48_r1,3,3,0,2,746,168,578,330,100.0,0.4,0.30
445,2026-07-06 17:18:16.697,FF_Default_DynamicFlow_PickUpHL_b30_fp40_r1,2,2,0,3,752,169,583,335,100.0,0.3,-0.30
446,2026-07-06 17:18:16.699,FF_Default_DynamicFlow_PickUpHL_b36_fp48_r1,2,2,0,3,750,169,581,333,100.0,0.3,-0.30
447,2026-07-06 17:18:16.701,FF_Default_DynamicFlow_PickUpHL_b42_fp56_r1,2,2,0,3,748,169,579,331,100.0,0.3,-0.30
448,2026-07-06 17:18:18.837,FF_Default_DynamicFlow_PickUpHL_b30_fp40_r1,3,3,0,2,758,170,588,340,100.0,0.4,0.29
449,2026-07-06 17:18:18.838,FF_Default_DynamicFlow_PickUpHL_b36_fp48_r1,3,3,0,2,755,170,585,337,100.0,0.4,0.30
450,2026-07-06 17:18:18.839,FF_Default_DynamicFlow_PickUpHL_b42_fp56_r1,3,3,0,2,752,170,582,334,100.0,0.4,0.30
451,2026-07-06 17:18:21.232,FF_Default_DynamicFlow_PickUpHL_b36_fp48_r1,2,2,0,3,758,171,587,339,100.0,0.3,-0.29
452,2026-07-06 17:18:21.233,FF_Default_DynamicFlow_PickUpHL_b42_fp56_r1,2,2,0,3,756,171,585,337,100.0,0.3,-0.30
453,2026-07-06 17:18:21.235,FF_Default_DynamicFlow_PickUpHL_b48_fp64_r1,2,2,0,3,754,171,583,335,100.0,0.3,-0.30
454,2026-07-06 17:18:23.448,FF_Default_DynamicFlow_PickUpHL_b36_fp48_r1,3,3,0,2,764,172,592,344,100.0,0.4,0.29
455,2026-07-06 17:18:23.449,FF_Default_DynamicFlow_PickUpHL_b42_fp56_r1,3,3,0,2,761,172,589,341,100.0,0.4,0.29
456,2026-07-06 17:18:23.450,FF_Default_DynamicFlow_PickUpHL_b48_fp64_r1,3,3,0,2,758,172,586,338,100.0,0.4,0.30
457,2026-07-06 17:18:25.521,FF_Default_DynamicFlow_PickUpHL_b42_fp56_r1,2,2,0,3,764,173,591,343,100.0,0.3,-0.29
458,2026-07-06 17:18:25.522,FF_Default_DynamicFlow_PickUpHL_b48_fp64_r1,2,2,0,3,762,173,589,341,100.0,0.3,-0.29
459,2026-07-06 17:18:25.523,FF_Default_DynamicFlow_PickUpHL_b28_fp38_r1,2,2,0,3,760,173,587,339,100.0,0.3,-0.29
460,2026-07-06 17:18:27.706,FF_Default_DynamicFlow_PickUpHL_b42_fp56_r1,3,3,0,2,770,174,596,348,100.0,0.4,0.29
461,2026-07-06 17:18:27.709,FF_Default_DynamicFlow_PickUpHL_b48_fp64_r1,3,3,0,2,767,174,593,345,100.0,0.4,0.29
462,2026-07-06 17:18:27.713,FF_Default_DynamicFlow_PickUpHL_b28_fp38_r1,3,3,0,2,764,174,590,342,100.0,0.4,0.29
463,2026-07-06 17:18:29.867,FF_Default_DynamicFlow_PickUpHL_b48_fp64_r1,2,2,0,3,770,175,595,347,100.0,0.3,-0.29
464,2026-07-06 17:18:29.868,FF_Default_DynamicFlow_PickUpHL_b28_fp38_r1,2,2,0,3,768,175,593,345,100.0,0.3,-0.29
465,2026-07-06 17:18:29.871,FF_Default_DynamicFlow_PickUpHL_b34_fp46_r1,2,2,0,3,766,175,591,343,100.0,0.3,-0.29
466,2026-07-06 17:18:32.082,FF_Default_DynamicFlow_PickUpHL_b48_fp64_r1,3,3,0,2,776,176,600,352,100.0,0.4,0.28
467,2026-07-06 17:18:32.084,FF_Default_DynamicFlow_PickUpHL_b28_fp38_r1,3,3,0,2,773,176,597,349,100.0,0.4,0.29
