Counter,Timestamp,ActionName,InstanceName,Result,ElapsedMs
0073,15:19:11.969,PickUpML,PickUpML_b12_fp16_r1_vg1,SUCCESS,125429
0074,15:19:16.286,TravelML,TravelML_r1_fp16_pr2,SUCCESS,129746
0075,15:19:16.425,StackML,StackML_b12_lp2_r1_vg1_pr2,SUCCESS,129884
0076,15:19:20.811,TravelML,TravelML_r1_pr2_fp15,SUCCESS,134270
0077,15:19:20.965,PickUpML,PickUpML_b11_fp15_r1_vg1,SUCCESS,134425
0078,15:19:25.131,TravelML,TravelML_r1_fp15_pr2,SUCCESS,138590
0079,15:19:25.261,StackML,StackML_b11_lp2_r1_vg1_pr2,SUCCESS,138720
0080,15:19:29.531,TravelML,TravelML_r1_pr2_fp10,SUCCESS,142990
0081,15:19:29.844,PickUpML,PickUpML_b7_fp10_r1_vg1,SUCCESS,143303
0082,15:19:33.991,TravelML,TravelML_r1_fp10_pr2,SUCCESS,147450
0083,15:19:34.130,StackML,StackML_b7_lp2_r1_vg1_pr2,SUCCESS,147589
0084,15:19:38.283,TravelML,TravelML_r1_pr2_fp11,SUCCESS,151743
0085,15:19:38.417,PickUpML,PickUpML_b8_fp11_r1_vg1,SUCCESS,151876
0086,15:19:42.707,TravelML,TravelML_r1_fp11_pr2,SUCCESS,156166
0087,15:19:42.829,StackML,StackML_b8_lp2_r1_vg1_pr2,SUCCESS,156288
0088,15:19:46.941,TravelML,TravelML_r1_pr2_fp20,SUCCESS,160400
0089,15:19:47.213,PickUpML,PickUpML_b15_fp20_r1_vg1,SUCCESS,160673
0090,15:19:51.454,TravelML,TravelML_r1_fp20_pr3,SUCCESS,164913
0091,15:19:51.592,StackML,StackML_b15_lp3_r1_vg1_pr3,SUCCESS,165051
0092,15:19:55.902,TravelML,TravelML_r1_pr3_fp22,SUCCESS,169361
0093,15:19:56.183,PickUpML,PickUpML_b16_fp22_r1_vg1,SUCCESS,169642
0094,15:20:01.530,TravelML,TravelML_r1_fp22_pr3,SUCCESS,174989
0095,15:20:01.654,StackML,StackML_b16_lp3_r1_vg1_pr3,SUCCESS,175114
0096,15:20:06.344,TravelML,TravelML_r1_pr3_fp24,SUCCESS,179803
