NodeType,TotalTicks,AverageServicesTimeMs,AverageDecoratorsTimeMs,AverageNodeLogicTimeMs,AverageChildrenTimeMs,AverageTotalTickTimeMs,TotalServicesTimeMs,TotalDecoratorsTimeMs,TotalNodeLogicTimeMs,TotalChildrenTimeMs,TotalTickTimeMs
BTFlowNodeComposite,373,0.94,0.04,3529.72,0.01,3530.71,351.07,15.99,1316584.58,3.15,1316954.81
BTFlowNodeDynamic_FF,359,550.82,0.87,0.05,2.72,554.46,197743.44,311.41,17.58,977.38,199049.85
BTFlowNodeDynamic_PDDL,1470,0.37,0.43,0.09,887.75,888.64,545.33,632.05,126.43,1304996.40,1306300.32
GenericBTAction,1705,4.03,0.19,0.08,758.11,762.41,6871.12,321.32,139.73,1292579.05,1299911.37
TOTAL,3907,52.60,0.33,337.05,665.10,1055.08,205510.96,1280.76,1316868.33,2598555.98,4122216.35
BTFlowNodeDynamic_ENHSP,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
BTFlowNodeDynamic_LAMA-FIRST,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
