NodeType,TotalTicks,AverageServicesTimeMs,AverageDecoratorsTimeMs,AverageNodeLogicTimeMs,AverageChildrenTimeMs,AverageTotalTickTimeMs,TotalServicesTimeMs,TotalDecoratorsTimeMs,TotalNodeLogicTimeMs,TotalChildrenTimeMs,TotalTickTimeMs
BTFlowNodeComposite,1300,0.57,0.20,7201.04,0.29,7202.11,745.00,263.16,9361358.06,371.09,9362739.32
BTFlowNodeDynamic_Enhsp,1300,477.27,1.91,0.38,6664.43,7144.00,620455.81,2489.13,492.73,8663758.80,9287197.83
BTFlowNodeDynamic_PDDL,1306,19.38,1.03,3.19,7143.79,7167.40,25310.94,1351.14,4172.37,9329790.97,9360626.84
BTFlowNodeDynamic_Unknown,1071,0.81,1.52,0.40,6794.95,6797.68,865.97,1626.03,427.76,7277394.03,7280316.51
GenericBTAction,3012,12.76,0.97,2843.75,5501.05,8358.52,38428.65,2908.60,8565362.89,16569156.45,25175859.18
TOTAL,7989,85.84,1.08,2244.56,5237.26,7568.75,685806.38,8638.06,17931813.81,41840471.35,60466739.68
BTFlowNodeDynamic_FF,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
BTFlowNodeDynamic_LAMA-FIRST,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
