LLId,ActionType,InstanceName,CommandType,TargetPosition,ParentMLAction,Success,ExecTimeMs
582,MoveToLL,MoveToLL_StackOnTwoML_stick53_robot1_finallocstick53_rpmanipulate_stick48_stick49_gripper1_layer11_layer12,planned,finallocstick53,,True,16573.11
583,MoveToLL,MoveToLL_StackOnTwoML_stick53_robot1_finallocstick53_rpmanipulate_stick48_stick49_gripper1_layer11_layer12,movej,rpmanipulate,,True,10660.39
584,MoveToLL,MoveToLL_TravelML_robot1_rpmanipulate_rptoolchange_dup15,movej,rptoolchange,,True,9033.16
585,DeequipToolLL,DeequipToolLL_DeequipML_robot1_gripper1_equiplocgripper_rptoolchange_dup8,play_program,,,True,20563.74
586,EquipToolLL,EquipToolLL_EquipeML_robot1_staplergun1_rptoolchange_equiplocstapler_dup8,play_program,,,True,10406.61
587,MoveToLL,MoveToLL_TravelML_robot1_rptoolchange_rpmanipulate_dup8,movej,rpmanipulate,,True,9659.59
588,NailingLL,NailingLL_NailingML_stick54_stick50_robot1_staplergun1_rpmanipulate,planned,unknown,,True,23492.92
589,MoveToLL,MoveToLL_TravelML_robot1_rpmanipulate_rptoolchange_dup16,movej,rptoolchange,,True,10564.54
590,DeequipToolLL,DeequipToolLL_DeequipML_robot1_staplergun1_equiplocstapler_rptoolchange_dup8,play_program,,,True,7271.96
591,EquipToolLL,EquipToolLL_EquipeML_robot1_gripper1_rptoolchange_equiplocgripper_dup8,play_program,,,True,20760.96
592,MoveToLL,MoveToLL_TravelML_robot1_rptoolchange_rppickup_dup8,movej,rppickup,,True,11891.74
593,MoveToLL,MoveToLL_PickUpML_stick56_initlocstick56_robot1_gripper1_rppickup,movel,initlocstick56,,True,5353.18
594,CloseGripperLL,CloseGripperLL_PickUpML_stick56_initlocstick56_robot1_gripper1_rppickup,close_gripper,,,True,12.88
595,MoveToLL,MoveToLL_PickUpML_stick56_initlocstick56_robot1_gripper1_rppickup,movel,rppickup,,True,5895.47
596,MoveToLL,MoveToLL_TravelML_robot1_rppickup_rpmanipulate_dup67,movej,rpmanipulate,,True,11288.21
597,MoveToLL,MoveToLL_StackOnTwoML_stick56_robot1_finallocstick56_rpmanipulate_stick51_stick52_gripper1_layer12_layer13,planned,finallocstick56,,True,17479.91
598,MoveToLL,MoveToLL_StackOnTwoML_stick56_robot1_finallocstick56_rpmanipulate_stick51_stick52_gripper1_layer12_layer13,movej,rpmanipulate,,True,8621.70
599,MoveToLL,MoveToLL_TravelML_robot1_rpmanipulate_rppickup_dup60,movej,rppickup,,True,11195.77
600,MoveToLL,MoveToLL_PickUpML_stick55_initlocstick55_robot1_gripper1_rppickup,movel,initlocstick55,,True,5164.04
601,CloseGripperLL,CloseGripperLL_PickUpML_stick55_initlocstick55_robot1_gripper1_rppickup,close_gripper,,,True,24.98
602,MoveToLL,MoveToLL_PickUpML_stick55_initlocstick55_robot1_gripper1_rppickup,movel,rppickup,,True,5131.78
