Counter,Timestamp,ActionName,InstanceName,Status,AdditionalInfo,TimeSinceStartMs
3101,2026-04-13 18:34:33.676,StackOnTwoHL,StackOnTwoHL_stick28_robot1_finallocstick28_stick24_cube5_layer6_layer7_gripper1,STARTED,"HL subtree tick: ENHSP_Demonstrator_DynamicFlow_StackOnTwoHL_stick28_robot1_finallocstick28_stick24_cube5_layer6_layer7_gripper1; DeltaTime: 0.100",5028531.35
3102,2026-04-13 18:34:36.543,TravelML,TravelML_robot1_rppickup_rpmanipulate_dup35,STARTED,"HL subtree tick: LL_DynamicFlow_TravelML_robot1_rppickup_rpmanipulate_dup35; DeltaTime: 0.100",5031398.90
3103,2026-04-13 18:34:49.362,MoveToLL,MoveToLL_TravelML_robot1_rppickup_rpmanipulate_dup35,COMPLETED,"Effects applied on exit",5044217.25
3104,2026-04-13 18:34:49.484,StackOnTwoHL,StackOnTwoHL_stick28_robot1_finallocstick28_stick24_cube5_layer6_layer7_gripper1,STARTED,"HL subtree tick: ENHSP_Demonstrator_DynamicFlow_StackOnTwoHL_stick28_robot1_finallocstick28_stick24_cube5_layer6_layer7_gripper1; DeltaTime: 0.100",5044339.05
3105,2026-04-13 18:34:49.490,TravelML,TravelML_robot1_rppickup_rpmanipulate_dup35,STARTED,"HL subtree tick: LL_DynamicFlow_TravelML_robot1_rppickup_rpmanipulate_dup35; DeltaTime: 0.100",5044345.96
3106,2026-04-13 18:34:49.492,TravelML,TravelML_robot1_rppickup_rpmanipulate_dup35,COMPLETED,"Subtree execution completed successfully",5044347.40
3107,2026-04-13 18:34:49.492,TravelML,TravelML_robot1_rppickup_rpmanipulate_dup35,STARTED,"DeltaTime: 0.100",5044347.43
3108,2026-04-13 18:34:49.492,TravelML,TravelML_robot1_rppickup_rpmanipulate_dup35,COMPLETED,"Action logic completed successfully",5044347.44
3109,2026-04-13 18:34:49.501,TravelML,TravelML_robot1_rppickup_rpmanipulate_dup35,COMPLETED,"Effects applied on exit",5044356.05
3110,2026-04-13 18:34:49.626,StackOnTwoHL,StackOnTwoHL_stick28_robot1_finallocstick28_stick24_cube5_layer6_layer7_gripper1,STARTED,"HL subtree tick: ENHSP_Demonstrator_DynamicFlow_StackOnTwoHL_stick28_robot1_finallocstick28_stick24_cube5_layer6_layer7_gripper1; DeltaTime: 0.100",5044481.61
3111,2026-04-13 18:34:49.649,StackOnTwoML,StackOnTwoML_stick28_robot1_finallocstick28_rpmanipulate_stick24_cube5_gripper1_layer6_layer7,STARTED,"HL subtree tick: LL_DynamicFlow_StackOnTwoML_stick28_robot1_finallocstick28_rpmanipulate_stick24_cube5_gripper1_layer6_layer7; DeltaTime: 0.100",5044504.13
3112,2026-04-13 18:35:12.389,MoveToLL,MoveToLL_StackOnTwoML_stick28_robot1_finallocstick28_rpmanipulate_stick24_cube5_gripper1_layer6_layer7,COMPLETED,"Effects applied on exit",5067244.24
3113,2026-04-13 18:35:12.509,StackOnTwoHL,StackOnTwoHL_stick28_robot1_finallocstick28_stick24_cube5_layer6_layer7_gripper1,STARTED,"HL subtree tick: ENHSP_Demonstrator_DynamicFlow_StackOnTwoHL_stick28_robot1_finallocstick28_stick24_cube5_layer6_layer7_gripper1; DeltaTime: 0.100",5067364.77
3114,2026-04-13 18:35:12.516,StackOnTwoML,StackOnTwoML_stick28_robot1_finallocstick28_rpmanipulate_stick24_cube5_gripper1_layer6_layer7,STARTED,"HL subtree tick: LL_DynamicFlow_StackOnTwoML_stick28_robot1_finallocstick28_rpmanipulate_stick24_cube5_gripper1_layer6_layer7; DeltaTime: 0.100",5067371.12
3115,2026-04-13 18:35:28.134,MoveToLL,MoveToLL_StackOnTwoML_stick28_robot1_finallocstick28_rpmanipulate_stick24_cube5_gripper1_layer6_layer7,COMPLETED,"Effects applied on exit",5082989.07
3116,2026-04-13 18:35:28.256,StackOnTwoHL,StackOnTwoHL_stick28_robot1_finallocstick28_stick24_cube5_layer6_layer7_gripper1,STARTED,"HL subtree tick: ENHSP_Demonstrator_DynamicFlow_StackOnTwoHL_stick28_robot1_finallocstick28_stick24_cube5_layer6_layer7_gripper1; DeltaTime: 0.100",5083111.15
3117,2026-04-13 18:35:28.262,StackOnTwoML,StackOnTwoML_stick28_robot1_finallocstick28_rpmanipulate_stick24_cube5_gripper1_layer6_layer7,STARTED,"HL subtree tick: LL_DynamicFlow_StackOnTwoML_stick28_robot1_finallocstick28_rpmanipulate_stick24_cube5_gripper1_layer6_layer7; DeltaTime: 0.100",5083117.03
3118,2026-04-13 18:35:28.264,StackOnTwoML,StackOnTwoML_stick28_robot1_finallocstick28_rpmanipulate_stick24_cube5_gripper1_layer6_layer7,COMPLETED,"Subtree execution completed successfully",5083119.89
3119,2026-04-13 18:35:28.264,StackOnTwoML,StackOnTwoML_stick28_robot1_finallocstick28_rpmanipulate_stick24_cube5_gripper1_layer6_layer7,STARTED,"DeltaTime: 0.100",5083119.91
3120,2026-04-13 18:35:28.264,StackOnTwoML,StackOnTwoML_stick28_robot1_finallocstick28_rpmanipulate_stick24_cube5_gripper1_layer6_layer7,COMPLETED,"Action logic completed successfully",5083119.96
3121,2026-04-13 18:35:28.281,StackOnTwoML,StackOnTwoML_stick28_robot1_finallocstick28_rpmanipulate_stick24_cube5_gripper1_layer6_layer7,COMPLETED,"Effects applied on exit",5083136.82
3122,2026-04-13 18:35:28.410,StackOnTwoHL,StackOnTwoHL_stick28_robot1_finallocstick28_stick24_cube5_layer6_layer7_gripper1,STARTED,"HL subtree tick: ENHSP_Demonstrator_DynamicFlow_StackOnTwoHL_stick28_robot1_finallocstick28_stick24_cube5_layer6_layer7_gripper1; DeltaTime: 0.100",5083265.67
3123,2026-04-13 18:35:28.415,StackOnTwoHL,StackOnTwoHL_stick28_robot1_finallocstick28_stick24_cube5_layer6_layer7_gripper1,COMPLETED,"Subtree execution completed successfully",5083270.49
3124,2026-04-13 18:35:28.415,StackOnTwoHL,StackOnTwoHL_stick28_robot1_finallocstick28_stick24_cube5_layer6_layer7_gripper1,STARTED,"DeltaTime: 0.100",5083270.53
3125,2026-04-13 18:35:28.415,StackOnTwoHL,StackOnTwoHL_stick28_robot1_finallocstick28_stick24_cube5_layer6_layer7_gripper1,COMPLETED,"Action logic completed successfully",5083270.54
3126,2026-04-13 18:35:28.432,StackOnTwoHL,StackOnTwoHL_stick28_robot1_finallocstick28_stick24_cube5_layer6_layer7_gripper1,COMPLETED,"Effects applied on exit",5083287.71
3127,2026-04-13 18:35:28.590,PickUpHL,PickUpHL_stick30_initlocstick30_robot1_gripper1,STARTED,"HL subtree tick: ENHSP_Demonstrator_DynamicFlow_PickUpHL_stick30_initlocstick30_robot1_gripper1; DeltaTime: 0.100",5083445.30
3128,2026-04-13 18:35:31.501,TravelML,TravelML_robot1_rpmanipulate_rppickup_dup31,STARTED,"HL subtree tick: LL_DynamicFlow_TravelML_robot1_rpmanipulate_rppickup_dup31; DeltaTime: 0.100",5086356.09
3129,2026-04-13 18:35:44.878,MoveToLL,MoveToLL_TravelML_robot1_rpmanipulate_rppickup_dup31,COMPLETED,"Effects applied on exit",5099733.35
3130,2026-04-13 18:35:44.993,PickUpHL,PickUpHL_stick30_initlocstick30_robot1_gripper1,STARTED,"HL subtree tick: ENHSP_Demonstrator_DynamicFlow_PickUpHL_stick30_initlocstick30_robot1_gripper1; DeltaTime: 0.100",5099848.49
3131,2026-04-13 18:35:44.997,TravelML,TravelML_robot1_rpmanipulate_rppickup_dup31,STARTED,"HL subtree tick: LL_DynamicFlow_TravelML_robot1_rpmanipulate_rppickup_dup31; DeltaTime: 0.100",5099852.76
3132,2026-04-13 18:35:45.000,TravelML,TravelML_robot1_rpmanipulate_rppickup_dup31,COMPLETED,"Subtree execution completed successfully",5099855.05
3133,2026-04-13 18:35:45.000,TravelML,TravelML_robot1_rpmanipulate_rppickup_dup31,STARTED,"DeltaTime: 0.100",5099855.09
3134,2026-04-13 18:35:45.000,TravelML,TravelML_robot1_rpmanipulate_rppickup_dup31,COMPLETED,"Action logic completed successfully",5099855.10
3135,2026-04-13 18:35:45.005,TravelML,TravelML_robot1_rpmanipulate_rppickup_dup31,COMPLETED,"Effects applied on exit",5099860.91
3136,2026-04-13 18:35:45.133,PickUpHL,PickUpHL_stick30_initlocstick30_robot1_gripper1,STARTED,"HL subtree tick: ENHSP_Demonstrator_DynamicFlow_PickUpHL_stick30_initlocstick30_robot1_gripper1; DeltaTime: 0.100",5099988.99
3137,2026-04-13 18:35:54.898,PickUpML,PickUpML_stick30_initlocstick30_robot1_gripper1_rppickup,STARTED,"HL subtree tick: LL_DynamicFlow_PickUpML_stick30_initlocstick30_robot1_gripper1_rppickup; DeltaTime: 0.100",5109753.16
3138,2026-04-13 18:36:03.137,MoveToLL,MoveToLL_PickUpML_stick30_initlocstick30_robot1_gripper1_rppickup,COMPLETED,"Effects applied on exit",5117992.58
3139,2026-04-13 18:36:03.264,PickUpHL,PickUpHL_stick30_initlocstick30_robot1_gripper1,STARTED,"HL subtree tick: ENHSP_Demonstrator_DynamicFlow_PickUpHL_stick30_initlocstick30_robot1_gripper1; DeltaTime: 0.100",5118119.07
3140,2026-04-13 18:36:03.267,PickUpML,PickUpML_stick30_initlocstick30_robot1_gripper1_rppickup,STARTED,"HL subtree tick: LL_DynamicFlow_PickUpML_stick30_initlocstick30_robot1_gripper1_rppickup; DeltaTime: 0.100",5118122.83
3141,2026-04-13 18:36:05.316,CloseGripperLL,CloseGripperLL_PickUpML_stick30_initlocstick30_robot1_gripper1_rppickup,COMPLETED,"Effects applied on exit",5120171.84
3142,2026-04-13 18:36:05.442,PickUpHL,PickUpHL_stick30_initlocstick30_robot1_gripper1,STARTED,"HL subtree tick: ENHSP_Demonstrator_DynamicFlow_PickUpHL_stick30_initlocstick30_robot1_gripper1; DeltaTime: 0.100",5120297.51
3143,2026-04-13 18:36:05.447,PickUpML,PickUpML_stick30_initlocstick30_robot1_gripper1_rppickup,STARTED,"HL subtree tick: LL_DynamicFlow_PickUpML_stick30_initlocstick30_robot1_gripper1_rppickup; DeltaTime: 0.100",5120302.79
3144,2026-04-13 18:36:13.441,MoveToLL,MoveToLL_PickUpML_stick30_initlocstick30_robot1_gripper1_rppickup,COMPLETED,"Effects applied on exit",5128296.68
3145,2026-04-13 18:36:13.557,PickUpHL,PickUpHL_stick30_initlocstick30_robot1_gripper1,STARTED,"HL subtree tick: ENHSP_Demonstrator_DynamicFlow_PickUpHL_stick30_initlocstick30_robot1_gripper1; DeltaTime: 0.100",5128412.34
3146,2026-04-13 18:36:13.576,PickUpML,PickUpML_stick30_initlocstick30_robot1_gripper1_rppickup,STARTED,"HL subtree tick: LL_DynamicFlow_PickUpML_stick30_initlocstick30_robot1_gripper1_rppickup; DeltaTime: 0.100",5128431.72
3147,2026-04-13 18:36:13.587,PickUpML,PickUpML_stick30_initlocstick30_robot1_gripper1_rppickup,COMPLETED,"Subtree execution completed successfully",5128442.55
3148,2026-04-13 18:36:13.587,PickUpML,PickUpML_stick30_initlocstick30_robot1_gripper1_rppickup,STARTED,"DeltaTime: 0.100",5128442.61
3149,2026-04-13 18:36:13.587,PickUpML,PickUpML_stick30_initlocstick30_robot1_gripper1_rppickup,COMPLETED,"Action logic completed successfully",5128442.65
3150,2026-04-13 18:36:13.604,PickUpML,PickUpML_stick30_initlocstick30_robot1_gripper1_rppickup,COMPLETED,"Effects applied on exit",5128459.40
3151,2026-04-13 18:36:13.729,PickUpHL,PickUpHL_stick30_initlocstick30_robot1_gripper1,STARTED,"HL subtree tick: ENHSP_Demonstrator_DynamicFlow_PickUpHL_stick30_initlocstick30_robot1_gripper1; DeltaTime: 0.100",5128584.23
3152,2026-04-13 18:36:13.732,PickUpHL,PickUpHL_stick30_initlocstick30_robot1_gripper1,COMPLETED,"Subtree execution completed successfully",5128587.99
3153,2026-04-13 18:36:13.733,PickUpHL,PickUpHL_stick30_initlocstick30_robot1_gripper1,STARTED,"DeltaTime: 0.100",5128588.03
3154,2026-04-13 18:36:13.733,PickUpHL,PickUpHL_stick30_initlocstick30_robot1_gripper1,COMPLETED,"Action logic completed successfully",5128588.04
