Counter,Timestamp,ActionName,InstanceName,Status,AdditionalInfo,TimeSinceStartMs
1316,2026-05-29 17:24:44.649,PickUpHL,PickUpHL_cube3_initloccube3_robot1_gripper1,STARTED,"HL subtree tick: ENHSP_Demonstrator_DynamicFlow_PickUpHL_cube3_initloccube3_robot1_gripper1; DeltaTime: 0.100",1562028.68
1317,2026-05-29 17:24:44.651,PickUpML,PickUpML_cube3_initloccube3_robot1_gripper1_rppickup,STARTED,"HL subtree tick: LL_DynamicFlow_PickUpML_cube3_initloccube3_robot1_gripper1_rppickup; DeltaTime: 0.100",1562030.21
1318,2026-05-29 17:24:50.633,MoveToLL,MoveToLL_moveToPickPosition_PickUpML_cube3_initloccube3_robot1_gripper1_rppickup,COMPLETED,"Effects applied on exit",1568012.18
1319,2026-05-29 17:24:50.660,PickUpHL,PickUpHL_cube3_initloccube3_robot1_gripper1,STARTED,"HL subtree tick: ENHSP_Demonstrator_DynamicFlow_PickUpHL_cube3_initloccube3_robot1_gripper1; DeltaTime: 0.100",1568039.02
1320,2026-05-29 17:24:50.661,PickUpML,PickUpML_cube3_initloccube3_robot1_gripper1_rppickup,STARTED,"HL subtree tick: LL_DynamicFlow_PickUpML_cube3_initloccube3_robot1_gripper1_rppickup; DeltaTime: 0.100",1568040.02
1321,2026-05-29 17:24:54.531,CloseGripperLL,CloseGripperLL_closeGripper_PickUpML_cube3_initloccube3_robot1_gripper1_rppickup,COMPLETED,"Effects applied on exit",1571910.15
1322,2026-05-29 17:24:54.547,PickUpHL,PickUpHL_cube3_initloccube3_robot1_gripper1,STARTED,"HL subtree tick: ENHSP_Demonstrator_DynamicFlow_PickUpHL_cube3_initloccube3_robot1_gripper1; DeltaTime: 0.100",1571925.98
1323,2026-05-29 17:24:54.547,PickUpML,PickUpML_cube3_initloccube3_robot1_gripper1_rppickup,STARTED,"HL subtree tick: LL_DynamicFlow_PickUpML_cube3_initloccube3_robot1_gripper1_rppickup; DeltaTime: 0.100",1571926.64
1324,2026-05-29 17:25:00.543,MoveToLL,MoveToLL_moveToRetract_PickUpML_cube3_initloccube3_robot1_gripper1_rppickup,COMPLETED,"Effects applied on exit",1577922.30
1325,2026-05-29 17:25:00.561,PickUpHL,PickUpHL_cube3_initloccube3_robot1_gripper1,STARTED,"HL subtree tick: ENHSP_Demonstrator_DynamicFlow_PickUpHL_cube3_initloccube3_robot1_gripper1; DeltaTime: 0.100",1577940.18
1326,2026-05-29 17:25:00.561,PickUpML,PickUpML_cube3_initloccube3_robot1_gripper1_rppickup,STARTED,"HL subtree tick: LL_DynamicFlow_PickUpML_cube3_initloccube3_robot1_gripper1_rppickup; DeltaTime: 0.100",1577940.65
1327,2026-05-29 17:25:00.561,PickUpML,PickUpML_cube3_initloccube3_robot1_gripper1_rppickup,COMPLETED,"Subtree execution completed successfully",1577940.87
1328,2026-05-29 17:25:00.561,PickUpML,PickUpML_cube3_initloccube3_robot1_gripper1_rppickup,STARTED,"DeltaTime: 0.100",1577940.87
1329,2026-05-29 17:25:00.561,PickUpML,PickUpML_cube3_initloccube3_robot1_gripper1_rppickup,COMPLETED,"Action logic completed successfully",1577940.87
1330,2026-05-29 17:25:00.563,PickUpML,PickUpML_cube3_initloccube3_robot1_gripper1_rppickup,COMPLETED,"Effects applied on exit",1577942.35
1331,2026-05-29 17:25:00.577,PickUpHL,PickUpHL_cube3_initloccube3_robot1_gripper1,STARTED,"HL subtree tick: ENHSP_Demonstrator_DynamicFlow_PickUpHL_cube3_initloccube3_robot1_gripper1; DeltaTime: 0.100",1577955.95
1332,2026-05-29 17:25:00.577,PickUpHL,PickUpHL_cube3_initloccube3_robot1_gripper1,COMPLETED,"Subtree execution completed successfully",1577956.59
1333,2026-05-29 17:25:00.577,PickUpHL,PickUpHL_cube3_initloccube3_robot1_gripper1,STARTED,"DeltaTime: 0.100",1577956.60
1334,2026-05-29 17:25:00.577,PickUpHL,PickUpHL_cube3_initloccube3_robot1_gripper1,COMPLETED,"Action logic completed successfully",1577956.60
1335,2026-05-29 17:25:00.578,PickUpHL,PickUpHL_cube3_initloccube3_robot1_gripper1,COMPLETED,"Effects applied on exit",1577956.97
1336,2026-05-29 17:25:00.618,StackHL,StackHL_cube3_stick10_robot1_finalloccube3_gripper1,STARTED,"HL subtree tick: ENHSP_Demonstrator_DynamicFlow_StackHL_cube3_stick10_robot1_finalloccube3_gripper1; DeltaTime: 0.100",1577997.78
1337,2026-05-29 17:25:04.170,TravelML,TravelML_robot1_rppickup_rpmanipulate_dup17,STARTED,"HL subtree tick: LL_DynamicFlow_TravelML_robot1_rppickup_rpmanipulate_dup17; DeltaTime: 0.100",1581549.19
