NodeType,TotalTicks,AverageServicesTimeMs,AverageDecoratorsTimeMs,AverageNodeLogicTimeMs,AverageChildrenTimeMs,AverageTotalTickTimeMs,TotalServicesTimeMs,TotalDecoratorsTimeMs,TotalNodeLogicTimeMs,TotalChildrenTimeMs,TotalTickTimeMs
BTFlowNodeComposite,2302,0.05,0.00,4916.65,0.01,4916.72,118.04,10.86,11318128.29,22.00,11318279.35
BTFlowNodeDynamic_Enhsp,2299,445.11,0.38,0.02,4456.10,4901.61,1023298.57,876.96,48.85,10244583.15,11268807.69
BTFlowNodeDynamic_PDDL,2312,15.91,0.42,0.07,4878.53,4894.93,36774.00,982.60,151.80,11279165.95,11317074.52
BTFlowNodeDynamic_Unknown,1972,0.01,0.27,0.02,5191.82,5192.13,18.89,541.47,32.89,10238277.25,10238870.78
GenericBTAction,5617,1.50,0.01,1822.37,3829.70,5653.58,8398.03,67.04,10236250.90,21511435.07,31756151.47
TOTAL,14502,73.69,0.17,1486.32,3673.53,5233.70,1068607.53,2478.93,21554612.73,53273483.42,75899183.81
BTFlowNodeDynamic_FF,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
BTFlowNodeDynamic_LAMA-FIRST,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
