LLId,ActionType,InstanceName,CommandType,TargetPosition,ParentMLAction,Success,ExecTimeMs
44,MoveToLL,MoveToLL_moveToRetract_PickUpML_stick1_initlocstick1_robot1_gripper1_rppickup,plannedl,rppickup,,True,3897.05
45,MoveToLL,MoveToLL_moveToTarget_TravelML_robot1_rppickup_rpmanipulate_dup5,plannedj,rpmanipulate,,True,11419.24
46,MoveToLL,MoveToLL_moveToStackPos_StackML_stick1_table1_robot1_gripper1_finallocstick1_rpmanipulate,plannedj,finallocstick1,,True,7157.84
47,OpenGripperLL,OpenGripperLL_openGripper_StackML_stick1_table1_robot1_gripper1_finallocstick1_rpmanipulate,open_gripper,,,True,2230.60
48,LiftLL,LiftLL_liftAfterStack_StackML_stick1_table1_robot1_gripper1_finallocstick1_rpmanipulate,lift,,,True,3706.10
49,MoveToLL,MoveToLL_moveToRobotPosition_StackML_stick1_table1_robot1_gripper1_finallocstick1_rpmanipulate,plannedj,rpmanipulate,,True,6929.20
50,MoveToLL,MoveToLL_moveToTarget_TravelML_robot1_rpmanipulate_rppickup_dup6,plannedj,rppickup,,True,11454.41
51,MoveToLL,MoveToLL_moveToPickPosition_PickUpML_stick6_initlocstick6_robot1_gripper1_rppickup,plannedl,initlocstick6,,True,4500.42
52,MoveToLL,MoveToLL_moveToTarget_TravelML_robot1_rpmanipulate_rppickup_dup7,plannedj,rppickup,,True,4042.92
53,MoveToLL,MoveToLL_moveToPickPosition_PickUpML_stick6_temploc1_robot1_gripper1_rppickup,plannedl,temploc1,,True,4482.48
54,CloseGripperLL,CloseGripperLL_closeGripper_PickUpML_stick6_temploc1_robot1_gripper1_rppickup,close_gripper,,,True,2179.91
55,MoveToLL,MoveToLL_moveToRetract_PickUpML_stick6_temploc1_robot1_gripper1_rppickup,plannedl,rppickup,,True,4360.30
56,MoveToLL,MoveToLL_moveToTarget_TravelML_robot1_rppickup_rpmanipulate_dup6,plannedj,rpmanipulate,,True,11605.71
57,MoveToLL,MoveToLL_moveToStackPos_StackOnTwoML_stick6_robot1_finallocstick6_rpmanipulate_stick2_stick1_gripper1_layer1_layer2,plannedj,finallocstick6,,True,7168.94
58,OpenGripperLL,OpenGripperLL_openGripper_StackOnTwoML_stick6_robot1_finallocstick6_rpmanipulate_stick2_stick1_gripper1_layer1_layer2,open_gripper,,,True,2045.82
59,LiftLL,LiftLL_liftAfterStack_StackOnTwoML_stick6_robot1_finallocstick6_rpmanipulate_stick2_stick1_gripper1_layer1_layer2,lift,,,True,3666.80
60,MoveToLL,MoveToLL_moveToRobotPos_StackOnTwoML_stick6_robot1_finallocstick6_rpmanipulate_stick2_stick1_gripper1_layer1_layer2,plannedj,rpmanipulate,,True,7183.53
61,MoveToLL,MoveToLL_moveToTarget_TravelML_robot1_rpmanipulate_rppickup_dup8,plannedj,rppickup,,True,11351.12
62,MoveToLL,MoveToLL_moveToPickPosition_PickUpML_stick7_initlocstick7_robot1_gripper1_rppickup,plannedl,initlocstick7,,True,3881.02
63,CloseGripperLL,CloseGripperLL_closeGripper_PickUpML_stick7_initlocstick7_robot1_gripper1_rppickup,close_gripper,,,True,1806.11
64,MoveToLL,MoveToLL_moveToRetract_PickUpML_stick7_initlocstick7_robot1_gripper1_rppickup,plannedl,rppickup,,True,3932.59
65,MoveToLL,MoveToLL_moveToTarget_TravelML_robot1_rppickup_rpmanipulate_dup7,plannedj,rpmanipulate,,True,11253.25
66,MoveToLL,MoveToLL_moveToStackPos_StackOnTwoML_stick7_robot1_finallocstick7_rpmanipulate_stick3_stick2_gripper1_layer1_layer2,plannedj,finallocstick7,,True,7163.02
67,OpenGripperLL,OpenGripperLL_openGripper_StackOnTwoML_stick7_robot1_finallocstick7_rpmanipulate_stick3_stick2_gripper1_layer1_layer2,open_gripper,,,True,2288.23
68,LiftLL,LiftLL_liftAfterStack_StackOnTwoML_stick7_robot1_finallocstick7_rpmanipulate_stick3_stick2_gripper1_layer1_layer2,lift,,,True,3709.79
69,MoveToLL,MoveToLL_moveToRobotPos_StackOnTwoML_stick7_robot1_finallocstick7_rpmanipulate_stick3_stick2_gripper1_layer1_layer2,plannedj,rpmanipulate,,True,6524.98
70,MoveToLL,MoveToLL_moveToTarget_TravelML_robot1_rpmanipulate_rppickup_dup9,plannedj,rppickup,,True,11452.52
71,MoveToLL,MoveToLL_moveToPickPosition_PickUpML_cube1_initloccube1_robot1_gripper1_rppickup,plannedl,initloccube1,,True,4578.56
72,CloseGripperLL,CloseGripperLL_closeGripper_PickUpML_cube1_initloccube1_robot1_gripper1_rppickup,close_gripper,,,True,1798.99
73,MoveToLL,MoveToLL_moveToRetract_PickUpML_cube1_initloccube1_robot1_gripper1_rppickup,plannedl,rppickup,,True,3848.43
74,MoveToLL,MoveToLL_moveToTarget_TravelML_robot1_rppickup_rpmanipulate_dup8,plannedj,rpmanipulate,,True,11099.92
75,MoveToLL,MoveToLL_moveToStackPos_StackML_cube1_stick1_robot1_gripper1_finalloccube1_rpmanipulate,plannedj,finalloccube1,,True,6881.29
76,OpenGripperLL,OpenGripperLL_openGripper_StackML_cube1_stick1_robot1_gripper1_finalloccube1_rpmanipulate,open_gripper,,,True,1642.04
77,LiftLL,LiftLL_liftAfterStack_StackML_cube1_stick1_robot1_gripper1_finalloccube1_rpmanipulate,lift,,,True,3628.35
78,MoveToLL,MoveToLL_moveToRobotPosition_StackML_cube1_stick1_robot1_gripper1_finalloccube1_rpmanipulate,plannedj,rpmanipulate,,True,6764.04
79,MoveToLL,MoveToLL_moveToTarget_TravelML_robot1_rpmanipulate_rppickup_dup10,plannedj,rppickup,,True,11160.36
80,MoveToLL,MoveToLL_moveToPickPosition_PickUpML_stick8_initlocstick8_robot1_gripper1_rppickup,plannedl,initlocstick8,,True,3884.23
81,CloseGripperLL,CloseGripperLL_closeGripper_PickUpML_stick8_initlocstick8_robot1_gripper1_rppickup,close_gripper,,,True,1839.87
82,MoveToLL,MoveToLL_moveToRetract_PickUpML_stick8_initlocstick8_robot1_gripper1_rppickup,plannedl,rppickup,,True,3877.41
83,MoveToLL,MoveToLL_moveToTarget_TravelML_robot1_rppickup_rpmanipulate_dup9,plannedj,rpmanipulate,,True,11201.90
84,MoveToLL,MoveToLL_moveToStackPos_StackOnTwoML_stick8_robot1_finallocstick8_rpmanipulate_stick3_stick4_gripper1_layer1_layer2,plannedj,finallocstick8,,True,6394.81
85,OpenGripperLL,OpenGripperLL_openGripper_StackOnTwoML_stick8_robot1_finallocstick8_rpmanipulate_stick3_stick4_gripper1_layer1_layer2,open_gripper,,,True,2240.70
