CmdNumber,IsSubStep,ParentCmdNumber,Timestamp,LLActionType,InstanceName,CommandType,TargetPosition,EndEffector,Velocity,Acceleration,Pose,Joints,Success,ExecTimeMs,PlanTimeMs,PointCount,NominalDurationSec,TotalTimeMs,GapFromPrevMs,PlanningInGapMs,BTOverheadMs,ParentMLAction,Error
19,False,,2026-05-29 17:01:04.904,MoveToLL,MoveToLL_moveToTarget_TravelML_robot1_rpmanipulate_rppickup_dup3,plannedj,rppickup,,1.00,1.00,"0.607360;-0.274802;0.339901;0.000000;-3.141590;0.000000","-0.128900;-1.540886;-1.932730;-1.238644;1.554514;-1.707900",True,11358.38,14.97,50,4.859,13462.29,2157.56,0.00,2157.56,,
20,False,,2026-05-29 17:01:18.408,MoveToLL,MoveToLL_moveToPickPosition_PickUpML_stick2_initlocstick2_robot1_gripper1_rppickup,plannedl,initlocstick2,,1.00,1.00,"0.599380;-0.283000;-0.009000;0.000000;-3.141590;0.000000","",True,3881.95,19.23,16,1.421,6035.10,41.12,0.00,41.12,,
21,False,,2026-05-29 17:01:24.468,CloseGripperLL,CloseGripperLL_closeGripper_PickUpML_stick2_initlocstick2_robot1_gripper1_rppickup,close_gripper,,,0.50,1.00,"","",True,1722.58,0.00,0,0.000,3756.31,25.65,0.00,25.65,,
22,False,,2026-05-29 17:01:28.244,MoveToLL,MoveToLL_moveToRetract_PickUpML_stick2_initlocstick2_robot1_gripper1_rppickup,plannedl,rppickup,,1.00,1.00,"0.607360;-0.274802;0.339901;0.000000;-3.141590;0.000000","-0.128900;-1.540886;-1.932730;-1.238644;1.554514;-1.707900",True,3890.54,17.33,16,1.400,6006.55,18.87,0.00,18.87,,
23,False,,2026-05-29 17:01:36.423,MoveToLL,MoveToLL_moveToTarget_TravelML_robot1_rppickup_rpmanipulate_dup3,plannedj,rpmanipulate,,1.00,1.00,"0.133776;0.348742;0.490041;0.000000;-3.141590;0.000000","1.656148;-0.959557;-2.051016;-1.701770;1.553554;1.650556",True,11416.06,36.75,51,4.916,13524.72,2172.75,0.00,2172.75,,
24,False,,2026-05-29 17:01:49.982,MoveToLL,MoveToLL_moveToStackPos_StackML_stick2_table1_robot1_gripper1_finallocstick2_rpmanipulate,plannedj,finallocstick2,,1.00,1.00,"0.329976;0.764397;-0.010000;0.000000;-3.141590;0.000000","",True,7535.78,16.43,30,2.863,9616.67,34.70,0.00,34.70,,
25,False,,2026-05-29 17:01:59.622,OpenGripperLL,OpenGripperLL_openGripper_StackML_stick2_table1_robot1_gripper1_finallocstick2_rpmanipulate,open_gripper,,,0.50,1.00,"","",True,1936.99,0.00,0,0.000,3963.26,22.69,0.00,22.69,,
26,False,,2026-05-29 17:02:08.055,MoveToLL,MoveToLL_moveToTarget_TravelML_robot1_rpmanipulate_rppickup_dup4,plannedj,rppickup,,1.00,1.00,"0.607360;-0.274802;0.339901;0.000000;-3.141590;0.000000","-0.128900;-1.540886;-1.932730;-1.238644;1.554514;-1.707900",True,6168.15,119.84,26,2.430,8459.95,4469.71,0.00,4469.71,,
27,False,,2026-05-29 17:02:18.816,MoveToLL,MoveToLL_moveToPickPosition_PickUpML_stickdummy_temploc2_robot1_gripper1_rppickup,plannedl,temploc2,,1.00,1.00,"0.599380;-0.283000;0.009000;0.000000;-3.141590;0.000000","",True,4237.25,34.91,15,1.365,6345.31,2301.14,0.00,2301.14,,
28,False,,2026-05-29 17:02:25.180,CloseGripperLL,CloseGripperLL_closeGripper_PickUpML_stickdummy_temploc2_robot1_gripper1_rppickup,close_gripper,,,0.50,1.00,"","",True,1880.15,0.00,0,0.000,3937.14,19.40,0.00,19.40,,
29,False,,2026-05-29 17:02:29.131,MoveToLL,MoveToLL_moveToRetract_PickUpML_stickdummy_temploc2_robot1_gripper1_rppickup,plannedl,rppickup,,1.00,1.00,"0.607360;-0.274802;0.339901;0.000000;-3.141590;0.000000","-0.128900;-1.540886;-1.932730;-1.238644;1.554514;-1.707900",True,4297.31,57.42,15,1.351,6698.04,13.72,0.00,13.72,,
30,False,,2026-05-29 17:02:35.868,MoveToLL,MoveToLL_moveToPutDownPosition_PutDownML_stickdummy_temploc3_robot1_gripper1_rppickup,plannedl,temploc3,,1.00,1.00,"0.599380;-0.002700;-0.009000;0.000000;-3.141590;0.000000","",True,4595.77,29.48,18,1.663,6710.20,38.50,0.00,38.50,,
