NodeType,TotalTicks,AverageServicesTimeMs,AverageDecoratorsTimeMs,AverageNodeLogicTimeMs,AverageChildrenTimeMs,AverageTotalTickTimeMs,TotalServicesTimeMs,TotalDecoratorsTimeMs,TotalNodeLogicTimeMs,TotalChildrenTimeMs,TotalTickTimeMs
BTFlowNodeComposite,1910,0.37,0.12,7735.63,0.11,7736.23,711.73,223.05,14775047.52,210.44,14776194.30
BTFlowNodeDynamic_Enhsp,1910,573.28,3.01,0.12,7073.13,7649.54,1094967.66,5748.02,231.83,13509673.35,14610622.63
BTFlowNodeDynamic_PDDL,1920,21.46,2.52,0.16,7669.84,7693.98,41206.74,4839.35,305.20,14726085.54,14772438.56
BTFlowNodeDynamic_Unknown,1584,0.21,1.86,0.12,7615.93,7618.12,325.76,2947.84,193.58,12063632.78,12067101.74
GenericBTAction,4486,3.45,0.31,2681.81,5969.91,8655.48,15496.12,1371.16,12030597.92,26781021.63,38828491.11
TOTAL,11810,97.60,1.28,2269.80,5679.99,8048.67,1152708.01,15129.43,26806376.05,67080623.76,95054848.34
BTFlowNodeDynamic_FF,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
BTFlowNodeDynamic_LAMA-FIRST,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
