CommandType,Count,Successful,Failed,SuccessRate,AvgExecTimeMs,AvgPlanTimeMs,TotalExecTimeMs,TotalPlanTimeMs
movej,353,351,2,99.43%,14071.26,0.00,4967154.83,0.00
movel,224,219,5,97.77%,5913.98,0.00,1324732.19,0.00
planned,195,195,0,100.00%,16000.26,0.00,3120051.02,0.00
close_gripper,108,108,0,100.00%,11.20,0.00,1209.33,0.00
play_program,52,50,2,96.15%,14105.04,0.00,733461.90,0.00
open_gripper,1,1,0,100.00%,13.43,0.00,13.43,0.00
TOTAL,933,924,9,99.04%,10875.27,0.00,10146622.71,0.00
