LLId,ActionType,InstanceName,CommandType,TargetPosition,ParentMLAction,Success,ExecTimeMs
413,MoveToLL,MoveToLL_moveToTarget_TravelML_robot1_rpmanipulate_rppickup_dup44,movej,rppickup,,True,15537.94
414,MoveToLL,MoveToLL_moveToPickPosition_PickUpML_stick39_initlocstick39_robot1_gripper1_rppickup,movel,initlocstick39,,True,6304.08
415,CloseGripperLL,CloseGripperLL_closeGripper_PickUpML_stick39_initlocstick39_robot1_gripper1_rppickup,close_gripper,,,True,1.09
416,MoveToLL,MoveToLL_moveToRetract_PickUpML_stick39_initlocstick39_robot1_gripper1_rppickup,movel,rppickup,,True,5275.29
417,MoveToLL,MoveToLL_moveToTarget_TravelML_robot1_rppickup_rpmanipulate_dup48,movej,rpmanipulate,,True,15544.18
418,MoveToLL,MoveToLL_moveToObjPosition_StackOnTwoML_stick39_robot1_finallocstick39_rpmanipulate_stick34_stick35_gripper1_layer8_layer9,planned,finallocstick39,,True,14399.76
419,MoveToLL,MoveToLL_moveToRobotPos_StackOnTwoML_stick39_robot1_finallocstick39_rpmanipulate_stick34_stick35_gripper1_layer8_layer9,movej,rpmanipulate,,True,9341.93
420,MoveToLL,MoveToLL_moveToTarget_TravelML_robot1_rpmanipulate_rppickup_dup45,movej,rppickup,,True,15142.96
421,MoveToLL,MoveToLL_moveToPickPosition_PickUpML_stick42_initlocstick42_robot1_gripper1_rppickup,movel,initlocstick42,,True,6332.57
422,CloseGripperLL,CloseGripperLL_closeGripper_PickUpML_stick42_initlocstick42_robot1_gripper1_rppickup,close_gripper,,,True,1.28
423,MoveToLL,MoveToLL_moveToRetract_PickUpML_stick42_initlocstick42_robot1_gripper1_rppickup,movel,rppickup,,True,5948.19
424,MoveToLL,MoveToLL_moveToTarget_TravelML_robot1_rppickup_rpmanipulate_dup49,movej,rpmanipulate,,True,15278.93
425,MoveToLL,MoveToLL_moveToObjPosition_StackOnTwoML_stick42_robot1_finallocstick42_rpmanipulate_stick38_stick37_gripper1_layer9_layer10,planned,finallocstick42,,True,17531.69
426,MoveToLL,MoveToLL_moveToRobotPos_StackOnTwoML_stick42_robot1_finallocstick42_rpmanipulate_stick38_stick37_gripper1_layer9_layer10,movej,rpmanipulate,,True,16399.76
427,MoveToLL,MoveToLL_moveToTarget_TravelML_robot1_rpmanipulate_rppickup_dup46,movej,rppickup,,True,15057.53
428,MoveToLL,MoveToLL_moveToPickPosition_PickUpML_cube9_initloccube9_robot1_gripper1_rppickup,movel,initloccube9,,True,6322.52
429,CloseGripperLL,CloseGripperLL_closeGripper_PickUpML_cube9_initloccube9_robot1_gripper1_rppickup,close_gripper,,,True,13.23
430,MoveToLL,MoveToLL_moveToRetract_PickUpML_cube9_initloccube9_robot1_gripper1_rppickup,movel,rppickup,,True,5958.53
431,MoveToLL,MoveToLL_moveToTarget_TravelML_robot1_rppickup_rpmanipulate_dup50,movej,rpmanipulate,,True,15063.61
432,MoveToLL,MoveToLL_moveToObjPosition_StackML_cube9_stick37_robot1_gripper1_finalloccube9_rpmanipulate,planned,finalloccube9,,True,17495.90
433,MoveToLL,MoveToLL_moveToRobotPosition_StackML_cube9_stick37_robot1_gripper1_finalloccube9_rpmanipulate,movej,rpmanipulate,,True,12171.79
434,MoveToLL,MoveToLL_moveToTarget_TravelML_robot1_rpmanipulate_rppickup_dup47,movej,rppickup,,True,15184.47
435,MoveToLL,MoveToLL_moveToPickPosition_PickUpML_stick43_initlocstick43_robot1_gripper1_rppickup,movel,initlocstick43,,True,6303.79
436,CloseGripperLL,CloseGripperLL_closeGripper_PickUpML_stick43_initlocstick43_robot1_gripper1_rppickup,close_gripper,,,True,13.54
437,MoveToLL,MoveToLL_moveToRetract_PickUpML_stick43_initlocstick43_robot1_gripper1_rppickup,movel,rppickup,,True,5942.33
438,MoveToLL,MoveToLL_moveToTarget_TravelML_robot1_rppickup_rpmanipulate_dup51,movej,rpmanipulate,,True,15290.22
439,MoveToLL,MoveToLL_moveToObjPosition_StackOnTwoML_stick43_robot1_finallocstick43_rpmanipulate_stick38_stick39_gripper1_layer9_layer10,planned,finallocstick43,,True,16694.54
440,MoveToLL,MoveToLL_moveToRobotPos_StackOnTwoML_stick43_robot1_finallocstick43_rpmanipulate_stick38_stick39_gripper1_layer9_layer10,movej,rpmanipulate,,True,8680.29
441,MoveToLL,MoveToLL_moveToTarget_TravelML_robot1_rpmanipulate_rppickup_dup48,movej,rppickup,,True,14966.23
442,MoveToLL,MoveToLL_moveToPickPosition_PickUpML_stick41_initlocstick41_robot1_gripper1_rppickup,movel,initlocstick41,,True,6284.73
443,CloseGripperLL,CloseGripperLL_closeGripper_PickUpML_stick41_initlocstick41_robot1_gripper1_rppickup,close_gripper,,,True,1.04
