Category,Count,BeforeTicking,AfterTicking,GenerationTimeMs,AverageTimeMs,MostCommonInstance,MostCommonCount
PredicateTypes,23,23,0,0.00,0.00,N/A,0
ActionTypes,24,24,0,0.00,0.00,N/A,0
ParameterTypes,25,25,0,0.00,0.00,N/A,0
ActionInstances,995,0,1990,2020.34,2.03,TravelML,253
ParameterInstances,443,441,0,28.49,0.06,Location,310
PredicateInstances,1289,427,0,554.72,0.43,atplace,211
PredicateNegationCount,3320,0,0,0.00,0.00,N/A,0
