Category,Count,BeforeTicking,AfterTicking,GenerationTimeMs,AverageTimeMs,MostCommonInstance,MostCommonCount
PredicateTypes,19,19,0,0.00,0.00,N/A,0
ActionTypes,22,22,0,0.00,0.00,N/A,0
ParameterTypes,12,12,0,0.00,0.00,N/A,0
ActionInstances,6,2,13,15.66,2.61,TravelML,2
ParameterInstances,17,17,0,4.26,0.25,Location,8
PredicateInstances,24,18,0,18.23,0.76,positionfree,4
PredicateNegationCount,11,0,0,0.00,0.00,N/A,0
