NodeType,TotalTicks,AverageServicesTimeMs,AverageDecoratorsTimeMs,AverageNodeLogicTimeMs,AverageChildrenTimeMs,AverageTotalTickTimeMs,TotalServicesTimeMs,TotalDecoratorsTimeMs,TotalNodeLogicTimeMs,TotalChildrenTimeMs,TotalTickTimeMs
BTFlowNodeComposite,66,0.43,0.03,171.84,0.01,172.31,28.34,2.17,11341.68,0.53,11372.72
BTFlowNodeDynamic_PDDL,32,0.33,0.35,0.11,148.71,149.50,10.47,11.27,3.41,4758.77,4783.93
BTFlowNodeDynamic_TFD,31,142.33,0.79,0.06,2.69,145.87,4412.21,24.48,1.94,83.39,4522.02
GenericBTAction,57,3.67,0.09,0.19,79.47,83.42,209.07,5.28,10.61,4530.04,4755.00
TOTAL,186,25.05,0.23,61.06,50.39,136.74,4660.09,43.21,11357.63,9372.73,25433.68
BTFlowNodeDynamic_FF,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
BTFlowNodeDynamic_ENHSP,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
BTFlowNodeDynamic_LAMA-FIRST,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
