NodeType,TotalTicks,AverageServicesTimeMs,AverageDecoratorsTimeMs,AverageNodeLogicTimeMs,AverageChildrenTimeMs,AverageTotalTickTimeMs,TotalServicesTimeMs,TotalDecoratorsTimeMs,TotalNodeLogicTimeMs,TotalChildrenTimeMs,TotalTickTimeMs
BTFlowNodeComposite,78,0.39,0.03,185.06,0.01,185.49,30.72,2.06,14434.95,0.60,14468.34
BTFlowNodeDynamic_PDDL,38,0.25,0.30,0.09,162.48,163.12,9.57,11.45,3.25,6174.35,6198.62
BTFlowNodeDynamic_TFD,37,154.80,0.71,0.06,2.73,158.30,5727.73,26.28,2.27,100.99,5857.27
GenericBTAction,67,4.15,0.10,0.19,87.58,92.03,278.27,6.78,12.63,5868.12,6165.81
TOTAL,220,27.48,0.21,65.70,55.20,148.59,6046.29,46.58,14453.10,12144.06,32690.04
BTFlowNodeDynamic_FF,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
BTFlowNodeDynamic_ENHSP,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
BTFlowNodeDynamic_LAMA-FIRST,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
