Category,Count,BeforeTicking,AfterTicking,GenerationTimeMs,AverageTimeMs,MostCommonInstance,MostCommonCount
PredicateTypes,19,19,0,0.00,0.00,N/A,0
ActionTypes,23,22,0,0.00,0.00,N/A,0
ParameterTypes,12,12,0,0.00,0.00,N/A,0
ActionInstances,37,2,81,79.29,2.14,TravelML,13
ParameterInstances,17,17,0,4.24,0.25,Location,8
PredicateInstances,39,18,0,16.71,0.43,positionfree,7
PredicateNegationCount,87,0,0,0.00,0.00,N/A,0
