Counter,Timestamp,ActionName,InstanceName,Status,AdditionalInfo,TimeSinceStartMs
44,2026-07-09 10:43:52.395,PlaceHL,PlaceHL_lp1_pr1_r1,COMPLETED,"Action logic completed successfully",2611.85
45,2026-07-09 10:43:52.397,PlaceHL,PlaceHL_lp1_pr1_r1,COMPLETED,"Effects applied on exit",2614.55
46,2026-07-09 10:43:52.526,GluingPlateHL,GluingPlateHL_lp1_pr1_r1,STARTED,"HL subtree tick: TFD_Default_DynamicFlow_GluingPlateHL_lp1_pr1_r1; DeltaTime: 0.100",2743.23
47,2026-07-09 10:43:53.323,TravelML,TravelML_r1_pr1_ep1,STARTED,"ML action execution; DeltaTime: 0.100",3540.18
48,2026-07-09 10:43:53.323,TravelML,TravelML_r1_pr1_ep1,STARTED,"DeltaTime: 0.100",3540.24
49,2026-07-09 10:43:53.323,TravelML,TravelML_r1_pr1_ep1,COMPLETED,"Action logic completed successfully",3540.31
50,2026-07-09 10:43:53.324,TravelML,TravelML_r1_pr1_ep1,COMPLETED,"Effects applied on exit",3540.94
51,2026-07-09 10:43:53.430,GluingPlateHL,GluingPlateHL_lp1_pr1_r1,STARTED,"HL subtree tick: TFD_Default_DynamicFlow_GluingPlateHL_lp1_pr1_r1; DeltaTime: 0.100",3646.81
52,2026-07-09 10:43:53.432,CloseToolML,CloseToolML_r1_vg1,STARTED,"ML action execution; DeltaTime: 0.100",3649.54
53,2026-07-09 10:43:53.432,CloseToolML,CloseToolML_r1_vg1,STARTED,"DeltaTime: 0.100",3649.57
54,2026-07-09 10:43:53.432,CloseToolML,CloseToolML_r1_vg1,COMPLETED,"Action logic completed successfully",3649.71
55,2026-07-09 10:43:53.433,CloseToolML,CloseToolML_r1_vg1,COMPLETED,"Effects applied on exit",3650.34
56,2026-07-09 10:43:53.542,GluingPlateHL,GluingPlateHL_lp1_pr1_r1,STARTED,"HL subtree tick: TFD_Default_DynamicFlow_GluingPlateHL_lp1_pr1_r1; DeltaTime: 0.100",3759.38
57,2026-07-09 10:43:53.544,DeequipML,DeequipML_r1_vg1_ep1,STARTED,"ML action execution; DeltaTime: 0.100",3761.42
58,2026-07-09 10:43:53.544,DeequipML,DeequipML_r1_vg1_ep1,STARTED,"DeltaTime: 0.100",3761.46
59,2026-07-09 10:43:53.544,DeequipML,DeequipML_r1_vg1_ep1,COMPLETED,"Action logic completed successfully",3761.48
60,2026-07-09 10:43:53.545,DeequipML,DeequipML_r1_vg1_ep1,COMPLETED,"Effects applied on exit",3762.38
61,2026-07-09 10:43:53.652,GluingPlateHL,GluingPlateHL_lp1_pr1_r1,STARTED,"HL subtree tick: TFD_Default_DynamicFlow_GluingPlateHL_lp1_pr1_r1; DeltaTime: 0.100",3869.57
62,2026-07-09 10:43:53.655,TravelML,TravelML_r1_ep1_ep2,STARTED,"ML action execution; DeltaTime: 0.100",3872.51
